time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.751903,-1.806879,-1.494345,0.001930,-0.016436,0.006908,0.158274,0.271893,0.001984,-3.823576,-6.910988,-0.048209,72.059950,189.675191,8.672172,0.027711,-0.016136,0.000000,-0.703956,0.389670,-0.000000
0.010000,-1.751876,-1.807031,-1.494275,0.003333,-0.014032,0.006926,0.123509,0.211926,0.001920,-3.142180,-5.116102,0.033840,64.322501,169.553083,7.747973,0.021602,-0.012592,0.000000,-0.521175,0.320198,0.000000
0.020000,-1.751837,-1.807161,-1.494206,0.004422,-0.012141,0.006949,0.095182,0.168925,0.002632,-2.535105,-3.515002,0.106951,57.191353,150.908153,6.884110,0.017222,-0.009705,0.000000,-0.358050,0.258321,-0.000000
0.030000,-1.751789,-1.807275,-1.494136,0.005256,-0.010603,0.006981,0.072579,0.141028,0.004032,-1.996417,-2.093218,0.171717,50.640910,133.679619,6.078437,0.014380,-0.007401,0.000000,-0.213140,0.203430,-0.000000
0.040000,-1.751733,-1.807374,-1.494066,0.005890,-0.009276,0.007031,0.055045,0.126510,0.006040,-1.520437,-0.836891,0.228707,44.645576,117.806700,5.328806,0.012903,-0.005615,0.000000,-0.085035,0.154935,0.000000
0.050000,-1.751671,-1.807460,-1.493996,0.006372,-0.008034,0.007104,0.041980,0.123783,0.008582,-1.101741,0.267232,0.278472,39.179755,103.228616,4.633071,0.012628,-0.004283,0.000000,0.027625,0.112274,0.000000
0.060000,-1.751606,-1.807535,-1.493924,0.006743,-0.006766,0.007204,0.032837,0.131389,0.011587,-0.735162,1.231795,0.321541,34.217850,89.884583,3.989085,0.013408,-0.003351,0.000000,0.126134,0.074911,-0.000000
0.070000,-1.751537,-1.807595,-1.493852,0.007040,-0.005376,0.007337,0.027119,0.147994,0.014992,-0.415789,2.068835,0.358419,29.734267,77.713822,3.394701,0.015108,-0.002769,0.000000,0.211719,0.042343,-0.000000
0.080000,-1.751465,-1.807641,-1.493777,0.007295,-0.003780,0.007505,0.024379,0.172379,0.018736,-0.138967,2.789780,0.389593,25.703410,66.655551,2.847772,0.017604,-0.002490,0.000000,0.285537,0.014092,0.000000
0.090000,-1.751391,-1.807670,-1.493701,0.007536,-0.001906,0.007713,0.024213,0.203438,0.022766,0.099703,3.405451,0.415526,22.099681,56.648987,2.346151,0.020783,-0.002474,0.000000,0.348679,-0.010290,-0.000000
0.100000,-1.751314,-1.807678,-1.493623,0.007787,0.000308,0.007961,0.026260,0.240171,0.027031,0.304365,3.926063,0.436660,18.897486,47.633351,1.887691,0.024545,-0.002684,0.000000,0.402166,-0.031222,0.000000
0.110000,-1.751235,-1.807663,-1.493542,0.008068,0.002913,0.008254,0.030200,0.281675,0.031485,0.478906,4.361219,0.453416,16.071228,39.547860,1.470247,0.028797,-0.003088,0.000000,0.446958,-0.049098,0.000000
0.120000,-1.751153,-1.807619,-1.493458,0.008396,0.005954,0.008592,0.035750,0.327141,0.036086,0.626957,4.719918,0.466194,13.595312,32.331733,1.091669,0.033458,-0.003658,0.000000,0.483953,-0.064284,-0.000000
0.130000,-1.751067,-1.807542,-1.493370,0.008787,0.009467,0.008976,0.042662,0.375846,0.040797,0.751894,5.010549,0.475372,11.444142,25.924190,0.749813,0.038453,-0.004367,0.000000,0.513986,-0.077120,0.000000
0.140000,-1.750977,-1.807428,-1.493278,0.009253,0.013480,0.009408,0.050721,0.427151,0.045583,0.856837,5.240894,0.481306,9.592121,20.264447,0.442531,0.043717,-0.005194,0.000000,0.537834,-0.087921,-0.000000
0.150000,-1.750881,-1.807271,-1.493182,0.009805,0.018016,0.009888,0.059741,0.480487,0.050413,0.944649,5.418128,0.484331,8.013654,15.291725,0.167676,0.049192,-0.006121,0.000000,0.556215,-0.096975,0.000000
