time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.966552,-1.871700,-1.491426,0.004693,-0.011628,0.006940,0.033609,0.073442,-0.000289,0.420401,1.273310,-0.021128,4.730056,17.259877,-0.352758,0.007486,-0.003426,0.000000,0.129768,-0.042844,-0.000000
0.050000,-1.966318,-1.872282,-1.491079,0.006373,-0.007956,0.006925,0.054629,0.137107,-0.001346,0.656904,2.136303,-0.038766,7.050183,23.882870,-0.367087,0.013973,-0.005568,0.000000,0.217632,-0.066923,-0.000000
0.100000,-1.965915,-1.872496,-1.490733,0.010156,0.002083,0.006805,0.099299,0.287072,-0.004166,1.125419,3.661597,-0.057837,9.590657,27.332327,-0.004931,0.029241,-0.010118,0.000000,0.372549,-0.114553,0.000000
0.150000,-1.965302,-1.872073,-1.490398,0.016303,0.020751,0.006509,0.167170,0.503267,-0.007129,1.615969,4.869536,-0.039259,7.703553,17.954132,0.746703,0.051212,-0.017027,0.000000,0.494305,-0.164276,0.000000
0.200000,-1.964285,-1.870421,-1.490082,0.026873,0.052410,0.006092,0.260896,0.774025,-0.008092,1.895774,5.457010,0.016833,1.913491,3.948409,1.392696,0.078646,-0.026567,0.000000,0.551919,-0.192403,0.000000
0.250000,-1.962615,-1.866832,-1.489789,0.042393,0.098154,0.005700,0.356748,1.048968,-0.005446,1.807319,5.264377,0.100010,-3.789111,-8.135863,1.790261,0.106395,-0.036330,0.000000,0.530306,-0.183215,-0.000000
0.300000,-1.960045,-1.860605,-1.489512,0.062547,0.157306,0.005548,0.441628,1.300463,0.001909,1.516863,4.643423,0.195859,-6.865649,-14.714329,1.828944,0.131690,-0.044996,0.000000,0.466484,-0.153895,-0.000000
0.350000,-1.956360,-1.851102,-1.489234,0.086555,0.228200,0.005891,0.508434,1.513310,0.014140,1.120754,3.792944,0.282905,-8.374960,-18.070273,1.411406,0.153070,-0.051856,0.000000,0.381136,-0.114247,0.000000
0.400000,-1.951390,-1.837785,-1.488923,0.113391,0.308637,0.006962,0.553703,1.679758,0.030200,0.679367,2.836396,0.337000,-8.868502,-19.359788,0.543521,0.169831,-0.056557,0.000000,0.286359,-0.070165,-0.000000
0.450000,-1.945021,-1.820238,-1.488538,0.141926,0.396176,0.008911,0.576371,1.796950,0.047840,0.233904,1.856965,0.337257,-8.648709,-19.230931,-0.655846,0.181726,-0.058973,0.000000,0.189557,-0.025483,0.000000
0.500000,-1.937197,-1.798168,-1.488032,0.171028,0.488332,0.011746,0.577093,1.865454,0.063925,-0.185504,0.913303,0.271415,-7.899706,-18.103898,-1.980686,0.188795,-0.059144,0.000000,0.095574,0.017016,-0.000000
0.550000,-1.927918,-1.771405,-1.487363,0.199635,0.582722,0.015303,0.557821,1.888280,0.074981,-0.556067,0.046575,0.139188,-6.753382,-16.295983,-3.185037,0.191283,-0.057238,0.000000,0.007873,0.055093,-0.000000
0.600000,-1.917234,-1.739895,-1.486502,0.226810,0.677160,0.019244,0.521487,1.870112,0.077844,-0.860842,-0.716295,-0.047088,-5.321724,-14.074351,-4.035899,0.189578,-0.053533,0.000000,-0.070904,0.086874,-0.000000
0.650000,-1.905237,-1.703689,-1.485439,0.251784,0.769733,0.023087,0.471736,1.816650,0.070272,-1.088240,-1.360860,-0.264402,-3.710304,-11.673614,-4.358915,0.184190,-0.048396,0.000000,-0.138782,0.110875,-0.000000
0.700000,-1.892055,-1.662922,-1.484193,0.273984,0.858825,0.026271,0.412663,1.734026,0.051404,-1.231872,-1.883657,-0.482980,-2.020552,-9.295657,-4.068263,0.175703,-0.042262,0.000000,-0.194546,0.126126,0.000000
0.750000,-1.877839,-1.617806,-1.482812,0.293050,0.943135,0.028228,0.348549,1.628285,0.021975,-1.290295,-2.290425,-0.671228,-0.345744,-7.101682,-3.177202,0.164743,-0.035595,0.000000,-0.237887,0.132280,0.000000
0.800000,-1.862750,-1.568609,-1.481370,0.308839,1.021654,0.028469,0.283633,1.504983,-0.015719,-1.266446,-2.593825,-0.800700,1.235368,-5.203393,-1.790156,0.151924,-0.028858,0.000000,-0.269454,0.129624,0.000000
0.850000,-1.846955,-1.515641,-1.479965,0.321413,1.093634,0.026656,0.221905,1.368902,-0.058095,-1.166758,-2.810765,-0.850244,2.663959,-3.658207,-0.080601,0.137806,-0.022483,0.000000,-0.290744,0.118973,-0.000000
0.900000,-1.830609,-1.459245,-1.478705,0.331029,1.158544,0.022659,0.166957,1.223907,-0.100743,-1.000051,-2.959645,-0.808760,3.903197,-2.471208,1.739193,0.122854,-0.016845,0.000000,-0.303819,0.101481,0.000000
0.950000,-1.813852,-1.399786,-1.477699,0.338109,1.216024,0.016582,0.121900,1.072938,-0.138971,-0.776438,-3.057885,-0.676324,4.935982,-1.604098,3.450249,0.107421,-0.012252,0.000000,-0.310944,0.078409,0.000000
1.000000,-1.796798,-1.337643,-1.477047,0.343219,1.265838,0.008762,0.089314,0.918118,-0.168376,-0.506452,-3.120055,-0.463735,5.758783,-0.989234,4.855581,0.091749,-0.008950,0.000000,-0.314243,0.050952,-0.000000
1.050000,-1.779530,-1.273203,-1.476823,0.347040,1.307836,-0.000256,0.071254,0.760932,-0.185345,-0.200560,-3.156809,-0.190766,6.373255,-0.545756,5.802102,0.075980,-0.007129,0.000000,-0.315434,0.020142,-0.000000
1.100000,-1.762094,-1.206859,-1.477072,0.350345,1.341931,-0.009773,0.069258,0.602437,-0.187452,0.130873,-3.174631,0.116475,6.778011,-0.194621,6.194329,0.060185,-0.006927,0.000000,-0.315694,-0.013147,-0.000000
1.150000,-1.744496,-1.139009,-1.477800,0.353966,1.368080,-0.019001,0.084342,0.443469,-0.173697,0.477241,-3.176271,0.428667,6.963080,0.130021,5.999960,0.044389,-0.008448,0.000000,-0.315623,-0.048114,-0.000000
1.200000,-1.726697,-1.070051,-1.478972,0.358779,1.386278,-0.027142,0.116982,0.284810,-0.144586,0.827181,-3.161629,0.716471,6.908909,0.474382,5.248338,0.028601,-0.011751,0.000000,-0.315294,-0.083895,0.000000
1.250000,-1.708618,-1.000382,-1.480515,0.365664,1.396561,-0.033460,0.167060,0.127306,-0.102050,1.168132,-3.128833,0.953500,6.590500,0.863370,4.023189,0.012841,-0.016853,0.000000,-0.314353,-0.119427,-0.000000
