time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-1.335270,-1.987418,1.413941,-0.006087,-0.007478,0.003563,0.125025,-0.024666,-0.041854,1.806853,0.269532,-0.743706,21.826605,8.626768,-7.421569
0.050000,-1.335574,-1.987792,1.414119,0.000164,-0.008711,0.001471,0.215367,-0.011189,-0.079039,2.898183,0.700871,-1.114784,28.938943,10.380142,-7.734931
0.100000,-1.335254,-1.988289,1.414088,0.015450,-0.008597,-0.004340,0.414843,0.045421,-0.153332,4.700747,1.307546,-1.517199,29.182107,6.110743,-4.031525
0.150000,-1.334029,-1.988651,1.413685,0.041649,-0.004169,-0.013862,0.685442,0.119565,-0.230759,5.816394,1.311945,-1.517937,11.303181,-2.399277,2.089268
0.200000,-1.331089,-1.988706,1.412702,0.083994,0.003360,-0.027416,0.996483,0.176616,-0.305126,5.831065,1.067619,-1.308272,-9.970054,-3.587409,6.487087
0.250000,-1.325630,-1.988315,1.410944,0.141297,0.013492,-0.044375,1.268549,0.226327,-0.361586,4.819389,0.953204,-0.869228,-23.565515,-1.797304,9.977255
0.300000,-1.316959,-1.987356,1.408265,0.210849,0.025992,-0.063575,1.478421,0.271936,-0.392049,3.474514,0.887888,-0.310547,-27.833028,-0.875162,11.682296
0.350000,-1.304545,-1.985716,1.404586,0.289139,0.040686,-0.083580,1.616000,0.315116,-0.392641,2.036086,0.865688,0.299002,-27.801771,0.157519,12.224694
0.400000,-1.288045,-1.983288,1.399907,0.372449,0.057504,-0.102839,1.682030,0.358505,-0.362148,0.694337,0.903640,0.911923,-24.550647,1.434074,11.865856
0.450000,-1.267300,-1.979966,1.394302,0.457342,0.076537,-0.119795,1.685434,0.405480,-0.301448,-0.418979,1.009095,1.485587,-19.279346,2.718115,10.620949
0.500000,-1.242311,-1.975634,1.387927,0.540992,0.098052,-0.132984,1.640132,0.459414,-0.213590,-1.233598,1.175452,1.974018,-13.147007,3.759539,8.431093
0.550000,-1.213201,-1.970160,1.381004,0.621355,0.122478,-0.141154,1.562074,0.523025,-0.104047,-1.733680,1.385049,2.328696,-7.126901,4.376609,5.318533
0.600000,-1.180175,-1.963386,1.373812,0.697200,0.150354,-0.143389,1.466764,0.597919,0.019280,-1.946288,1.613113,2.505871,-1.937831,4.464387,1.473918
0.650000,-1.143481,-1.955125,1.366665,0.768032,0.182270,-0.139226,1.367445,0.684336,0.146540,-1.927463,1.831488,2.476088,1.984695,3.985021,-2.739281
0.700000,-1.103372,-1.945159,1.359889,0.833944,0.218788,-0.128734,1.274018,0.781068,0.266889,-1.747818,2.011615,2.231943,4.476930,2.950031,-6.845809
0.750000,-1.060087,-1.933246,1.353792,0.895433,0.260377,-0.112537,1.192663,0.885498,0.369735,-1.479770,2.126491,1.791507,5.596648,1.400980,-10.351492
0.800000,-1.013829,-1.919122,1.348636,0.953211,0.307338,-0.091761,1.126041,0.993717,0.446040,-1.188154,2.151713,1.196794,5.546759,-0.604672,-12.833576
0.850000,-0.964766,-1.902512,1.344616,1.008037,0.359748,-0.067933,1.073848,1.100669,0.489414,-0.925094,2.066024,0.508150,4.593154,-2.997243,-14.004674
0.900000,-0.913025,-1.883147,1.341842,1.060595,0.417405,-0.042820,1.033531,1.200319,0.496854,-0.728838,1.851988,-0.203674,2.997590,-5.686711,-13.741392
0.950000,-0.858706,-1.860772,1.340334,1.111391,0.479780,-0.018247,1.000964,1.285868,0.469047,-0.625335,1.497352,-0.865989,0.979634,-8.546630,-12.081711
1.000000,-0.801886,-1.835169,1.340018,1.160692,0.545992,0.004085,0.970998,1.350055,0.410256,-0.630875,0.997325,-1.411845,-1.289011,-11.398204,-9.202736
1.050000,-0.742637,-1.806173,1.340742,1.208490,0.614786,0.022778,0.937877,1.385600,0.327862,-0.754236,0.357532,-1.786263,-3.664911,-14.004506,-5.391628
1.100000,-0.681037,-1.773690,1.342295,1.254479,0.684552,0.036871,0.895574,1.385808,0.231629,-0.997366,-0.403125,-1.951008,-6.001989,-16.083478,-1.018666
1.150000,-0.617189,-1.737718,1.344429,1.298048,0.753366,0.045941,0.838140,1.345288,0.132761,-1.354435,-1.250816,-1.888130,-8.124880,-17.344258,3.485258
1.200000,-0.551232,-1.698354,1.346889,1.338293,0.819080,0.050147,0.760131,1.260726,0.042816,-1.809854,-2.137551,-1.602482,-9.819515,-17.544132,7.651284
1.250000,-0.483360,-1.655809,1.349444,1.374061,0.879439,0.050223,0.657155,1.131533,-0.027487,-2.336386,-3.005229,-1.123001,-10.845699,-16.557473,11.004636
1.300000,-0.413826,-1.610410,1.351912,1.404009,0.932234,0.047399,0.526492,0.960203,-0.069484,-2.894424,-3.793298,-0.502018,-10.973221,-14.425341,13.112946
1.350000,-0.342959,-1.562586,1.354184,1.426710,0.975459,0.043274,0.367712,0.752203,-0.077689,-3.433709,-4.447763,0.188293,-10.047416,-11.326275,13.644830
1.400000,-0.271155,-1.512864,1.356239,1.440780,1.007454,0.039630,0.183121,0.515427,-0.050654,-3.899165,-4.925926,0.862465,-8.063011,-7.478832,12.423266
1.450000,-0.198881,-1.461841,1.358147,1.445022,1.027002,0.038209,-0.022204,0.259610,0.008558,-4.240010,-5.195646,1.430620,-5.197512,-3.080340,9.466680
1.500000,-0.126653,-1.410164,1.360060,1.438560,1.033415,0.040486,-0.240880,-0.004138,0.092408,-4.418917,-5.233960,1.809133,-1.786499,1.680790,5.019276
1.550000,-0.055025,-1.358499,1.362195,1.420934,1.026588,0.047450,-0.464096,-0.263786,0.189471,-4.418660,-5.027567,1.932548,1.745572,6.601708,-0.438008
1.600000,0.015440,-1.307505,1.364805,1.392150,1.007036,0.059433,-0.682746,-0.506894,0.285662,-4.244359,-4.573789,1.765332,4.972840,11.475773,-6.216468
1.650000,0.084190,-1.257796,1.368139,1.352660,0.975899,0.076016,-0.888532,-0.721165,0.366004,-3.921375,-3.879990,1.310901,7.536324,16.121726,-11.499013
1.700000,0.150706,-1.209915,1.372407,1.303297,0.934920,0.096033,-1.074883,-0.894893,0.416752,-3.490727,-2.961617,0.615431,9.180335,20.381867,-15.459509
1.750000,0.214520,-1.164304,1.377742,1.245171,0.886410,0.117691,-1.237605,-1.017326,0.427547,-3.003342,-1.841803,-0.235050,9.777351,24.066152,-17.402176
1.800000,0.275224,-1.121274,1.384176,1.179537,0.833187,0.138788,-1.375217,-1.079074,0.393247,-2.512992,-0.555001,-1.124787,9.347913,26.876491,-16.898354
1.850000,0.332474,-1.080985,1.391621,1.107650,0.778502,0.157016,-1.488904,-1.072826,0.315069,-2.068551,0.845846,-1.924885,8.062191,28.374414,-13.895031
1.900000,0.385989,-1.043424,1.399877,1.030646,0.725905,0.170295,-1.582072,-0.994489,0.200759,-1.706773,2.282440,-2.514290,6.215845,28.052556,-8.768092
1.950000,0.435538,-1.008394,1.408650,0.949442,0.679053,0.177092,-1.659581,-0.844582,0.063640,-1.446966,3.651102,-2.801695,4.140061,25.519442,-2.289378
2.000000,0.480933,-0.975518,1.417586,0.864688,0.641447,0.176659,-1.726769,-0.629379,-0.079411,-1.292767,4.834384,-2.743228,2.091741,20.696813,4.501639
2.050000,0.522007,-0.944250,1.426316,0.776766,0.616115,0.169151,-1.788858,-0.361144,-0.210683,-1.237792,5.720783,-2.351531,0.285376,13.897440,10.490663
2.100000,0.558609,-0.913907,1.434502,0.685802,0.605332,0.155591,-1.850548,-0.057301,-0.314564,-1.264229,6.224128,-1.694161,-1.005893,5.777193,14.710287
2.150000,0.590587,-0.883716,1.441875,0.591711,0.610385,0.137694,-1.915281,0.261269,-0.380099,-1.338381,6.298502,-0.880502,-1.471633,-2.776278,16.545972
2.200000,0.617780,-0.852868,1.448271,0.494274,0.631459,0.117581,-1.984386,0.572549,-0.402614,-1.411392,5.946501,-0.039564,-0.858369,-10.806387,15.856351
2.250000,0.640015,-0.820571,1.453633,0.393272,0.667640,0.097433,-2.056420,0.855919,-0.384056,-1.424218,5.217863,0.705133,0.958156,-17.480279,12.966536
2.300000,0.657108,-0.786104,1.458014,0.288632,0.717051,0.079175,-2.126808,1.094336,-0.332101,-1.315577,4.198473,1.257089,3.931775,-22.243164,8.550495
2.350000,0.668878,-0.748865,1.461551,0.180591,0.777074,0.064223,-2.187978,1.275766,-0.258347,-1.031041,2.993547,1.560183,7.851553,-24.882094,3.453086
2.400000,0.675167,-0.708397,1.464437,0.069834,0.844628,0.053340,-2.229912,1.393691,-0.176082,-0.530422,1.710263,1.602398,12.385781,-25.495030,-1.487206
2.450000,0.675861,-0.664403,1.466885,-0.042400,0.916443,0.046615,-2.241020,1.446793,-0.098107,0.207537,0.444044,1.411462,17.131913,-24.397532,-5.571034
2.500000,0.670927,-0.616753,1.469098,-0.154267,0.989307,0.043530,-2.209159,1.438095,-0.034936,1.182770,-0.729490,1.045295,21.653415,-22.009631,-8.314749
2.550000,0.660435,-0.565472,1.471238,-0.263316,1.060252,0.043121,-2.122743,1.373844,0.006423,2.372879,-1.756919,0.579987,25.500448,-18.756840,-9.482254
2.600000,0.644595,-0.510727,1.473410,-0.366542,1.126691,0.044172,-1.971871,1.262403,0.023063,3.732815,-2.605174,0.097069,28.224165,-15.005186,-9.089849
2.650000,0.623781,-0.452803,1.475655,-0.460503,1.186493,0.045427,-1.749461,1.113326,0.016130,5.195295,-3.257438,-0.328998,29.400266,-11.035379,-7.394759
2.700000,0.598545,-0.392078,1.477953,-0.541488,1.238024,0.045785,-1.452341,0.936659,-0.009837,6.672841,-3.708712,-0.642407,28.672675,-7.048906,-4.865331
2.750000,0.569632,-0.329001,1.480234,-0.605737,1.280159,0.044444,-1.082177,0.742455,-0.048111,8.062563,-3.962328,-0.815531,25.813182,-3.191866,-2.121147
2.800000,0.537971,-0.264062,1.482397,-0.649706,1.312269,0.040974,-0.646085,0.540426,-0.091390,9.254159,-4.027898,-0.854521,20.775943,0.418578,0.167908
2.850000,0.504661,-0.197774,1.484331,-0.670346,1.334201,0.035304,-0.156761,0.339665,-0.133563,10.140157,-3.920470,-0.798740,13.722781,3.676422,1.420306
2.900000,0.470937,-0.130642,1.485928,-0.665382,1.346236,0.027618,0.367931,0.148379,-0.171264,10.626437,-3.660256,-0.712491,5.011792,6.482202,1.294523
2.950000,0.438123,-0.063150,1.487093,-0.633552,1.349039,0.018178,0.905883,-0.026360,-0.204812,10.641336,-3.272250,-0.669288,-4.837569,8.748625,-0.185789
3.000000,0.407581,0.004262,1.487745,-0.574793,1.343600,0.007136,1.432064,-0.178846,-0.238193,10.142680,-2.785394,-0.731070,-15.179779,10.408161,-2.577578
3.050000,0.380644,0.071210,1.487806,-0.490346,1.331155,-0.005641,1.920151,-0.304900,-0.277919,9.123358,-2.231434,-0.927046,-25.256126,11.414377,-5.072963
3.100000,0.358547,0.137377,1.487181,-0.382778,1.313110,-0.020656,2.344400,-0.401989,-0.330898,7.617068,-1.643956,-1.238366,-34.207588,11.739056,-6.668802
3.150000,0.342366,0.202521,1.485741,-0.255906,1.290956,-0.038731,2.681857,-0.469295,-0.401756,5.702600,-1.057529,-1.593926,-41.176363,11.379958,-6.418297
3.200000,0.332956,0.266473,1.483308,-0.114593,1.266180,-0.060831,2.914660,-0.507742,-0.490290,3.499432,-0.505960,-1.880196,-45.489413,10.382171,-3.699573
3.250000,0.330907,0.329139,1.479658,0.035560,1.240182,-0.087760,3.031801,-0.519891,-0.589775,1.153658,-0.019312,-1.963883,-46.747273,8.847207,1.571085
3.300000,0.336512,0.390491,1.474532,0.188587,1.214191,-0.119809,3.030026,-0.509673,-0.686679,-1.175296,0.378760,-1.723087,-44.734979,6.912711,8.820933
3.350000,0.349765,0.450558,1.467677,0.338563,1.189214,-0.156428,2.914271,-0.482015,-0.762084,-3.319840,0.671959,-1.081790,-39.340493,4.726342,16.832326
3.400000,0.370368,0.509412,1.458889,0.480014,1.165990,-0.196017,2.698042,-0.442477,-0.794858,-5.109345,0.851395,-0.039855,-30.715934,2.441427,23.943380
3.450000,0.397767,0.567157,1.448075,0.608367,1.144966,-0.235914,2.403336,-0.396876,-0.766070,-6.391433,0.916102,1.312548,-19.592238,0.225257,28.451876
3.500000,0.431205,0.623909,1.435298,0.720348,1.126302,-0.272624,2.058899,-0.350867,-0.663603,-7.068569,0.873920,2.805333,-7.368708,-1.745803,29.101334
3.550000,0.469802,0.679787,1.420813,0.814257,1.109880,-0.302274,1.696480,-0.309484,-0.485536,-7.128304,0.741522,4.222681,4.198570,-3.311026,25.436748
3.600000,0.512631,0.734897,1.405071,0.889996,1.095354,-0.321178,1.346068,-0.276715,-0.241335,-6.648712,0.542818,5.349008,13.516827,-4.358339,17.902431
3.650000,0.558801,0.789323,1.388695,0.948864,1.082208,-0.326407,1.031608,-0.255202,0.049364,-5.776621,0.305688,6.012925,19.578392,-4.849948,7.692149
3.700000,0.607517,0.843118,1.372430,0.993157,1.069833,-0.316241,0.768406,-0.246146,0.359958,-4.690873,0.057823,6.118223,22.111767,-4.826485,-3.573584
3.750000,0.658117,0.896306,1.357071,1.025704,1.057594,-0.290412,0.562521,-0.249420,0.661187,-3.565444,-0.176961,5.655566,21.522192,-4.390728,-14.228279
3.800000,0.710087,0.948877,1.343389,1.049409,1.044891,-0.250123,0.411862,-0.263842,0.925514,-2.538653,-0.381250,4.695395,18.715248,-3.681576,-22.885091
