time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.418942,-2.326147,-1.417550,-0.007403,-0.006129,-0.003719,-0.014500,0.119467,0.021075,0.592555,1.641856,0.108345,13.649203,19.604668,-1.808324,0.012204,0.001481,0.000000,0.167837,-0.060512,0.000000
0.050000,-1.419312,-2.326453,-1.417736,-0.008128,-0.000155,-0.002665,0.015128,0.201559,0.026492,1.275015,2.622089,0.017929,16.556623,26.621223,-2.953884,0.020599,-0.001546,0.000000,0.267931,-0.130298,0.000000
0.100000,-1.419755,-2.326162,-1.417816,-0.005890,0.014027,-0.001069,0.113002,0.381675,0.022868,2.248218,4.303978,-0.187043,10.828753,28.623402,-2.490378,0.038975,-0.011545,0.000000,0.438215,-0.229286,-0.000000
0.150000,-1.419901,-2.325051,-1.417842,0.003172,0.038012,-0.000378,0.239950,0.631957,0.007788,2.357891,5.484429,-0.231109,-2.669980,13.997122,1.120361,0.064363,-0.024474,0.000000,0.555138,-0.239329,-0.000000
0.200000,-1.419438,-2.322361,-1.417854,0.018105,0.077223,-0.000291,0.348791,0.930118,-0.000243,1.981220,5.703690,-0.075007,-8.249921,-5.095713,3.267479,0.094469,-0.035539,0.000000,0.574474,-0.200530,0.000000
0.250000,-1.418091,-2.317328,-1.417872,0.038052,0.131024,-0.000402,0.438072,1.202326,0.000287,1.532899,4.974858,0.095639,-10.036730,-17.773906,3.184979,0.121836,-0.044627,0.000000,0.499481,-0.155228,-0.000000
0.300000,-1.415632,-2.309259,-1.417894,0.061912,0.197456,-0.000262,0.502081,1.427604,0.009321,0.977547,3.926300,0.243491,-11.770823,-22.347330,2.301521,0.144460,-0.051184,0.000000,0.394603,-0.099702,0.000000
0.350000,-1.411899,-2.297583,-1.417898,0.088260,0.273784,0.000530,0.535827,1.594956,0.024636,0.355816,2.740125,0.325791,-12.437988,-23.633185,0.645389,0.161336,-0.054703,0.000000,0.277337,-0.037577,0.000000
0.400000,-1.406806,-2.281880,-1.417841,0.115495,0.356951,0.002202,0.537663,1.701617,0.041900,-0.266252,1.562981,0.308029,-11.857889,-22.377002,-1.496976,0.172215,-0.054987,0.000000,0.160636,0.025068,-0.000000
0.450000,-1.400350,-2.261888,-1.417678,0.142026,0.443946,0.004720,0.509201,1.751254,0.055439,-0.829973,0.502425,0.176093,-10.237405,-19.372934,-3.655640,0.177403,-0.052154,0.000000,0.053731,0.082598,0.000000
0.500000,-1.392604,-2.237486,-1.417369,0.166415,0.532077,0.007746,0.454665,1.751859,0.059509,-1.289993,-0.374312,-0.057535,-7.845835,-15.382349,-5.312842,0.177583,-0.046596,0.000000,-0.037104,0.130207,0.000000
0.550000,-1.383708,-2.208680,-1.416903,0.187492,0.619132,0.010671,0.380202,1.713823,0.049686,-1.614556,-1.035810,-0.355191,-4.952702,-11.066425,-6.046023,0.173690,-0.038934,0.000000,-0.107967,0.164079,-0.000000
0.600000,-1.373855,-2.175573,-1.416302,0.204435,0.703459,0.012714,0.293210,1.648278,0.023990,-1.785263,-1.480955,-0.662137,-1.818812,-6.968410,-5.633514,0.166792,-0.029953,0.000000,-0.157270,0.181734,0.000000
