time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.559376,-2.324199,-1.416631,-0.003806,-0.018015,-0.005154,-0.209038,0.768809,0.065316,4.218692,-24.926384,-0.443768,-36.723678,694.514267,-21.763423,0.078714,0.021448,0.000000,-2.544387,-0.432357,-0.000000
0.010000,-2.559424,-2.324344,-1.416680,-0.005691,-0.011461,-0.004527,-0.168621,0.552521,0.059826,3.871298,-18.501924,-0.650651,-32.799632,592.121237,-19.621228,0.056599,0.017292,0.000000,-1.894624,-0.397447,0.000000
0.020000,-2.559488,-2.324434,-1.416722,-0.007189,-0.006767,-0.003964,-0.131486,0.395530,0.052374,3.561822,-13.049967,-0.836359,-29.138715,499.926134,-17.528727,0.040510,0.013474,0.000000,-1.338366,-0.365818,-0.000000
0.030000,-2.559566,-2.324484,-1.416759,-0.008331,-0.003384,-0.003485,-0.097266,0.288612,0.043168,3.287669,-8.471159,-1.001397,-25.734194,417.403622,-15.487785,0.029540,0.009959,0.000000,-0.869468,-0.337456,-0.000000
0.040000,-2.559654,-2.324505,-1.416792,-0.009143,-0.000855,-0.003106,-0.065623,0.223510,0.032413,3.046306,-4.671403,-1.146292,-22.579335,344.028367,-13.500268,0.022855,0.006711,0.000000,-0.480137,-0.312251,-0.000000
0.050000,-2.559748,-2.324503,-1.416822,-0.009651,0.001201,-0.002842,-0.036239,0.192883,0.020308,2.835272,-1.561852,-1.271587,-19.667404,279.275034,-11.568041,0.019700,0.003702,0.000000,-0.162015,-0.290039,0.000000
0.060000,-2.559846,-2.324481,-1.416849,-0.009875,0.003096,-0.002704,-0.008824,0.190252,0.007045,2.652171,0.941086,-1.377844,-16.991666,222.618287,-9.692969,0.019405,0.000900,0.000000,0.093242,-0.270623,-0.000000
0.070000,-2.559945,-2.324440,-1.416876,-0.009833,0.005080,-0.002704,0.016890,0.209945,-0.007188,2.494674,2.915751,-1.465643,-14.545388,173.532793,-7.876919,0.021382,-0.001720,0.000000,0.293668,-0.253797,0.000000
0.080000,-2.560042,-2.324379,-1.416904,-0.009542,0.007353,-0.002850,0.041147,0.247050,-0.022208,2.360521,4.435228,-1.535585,-12.321836,131.493217,-6.121756,0.025121,-0.004185,0.000000,0.446856,-0.239347,-0.000000
0.090000,-2.560135,-2.324292,-1.416934,-0.009014,0.010065,-0.003150,0.064170,0.297359,-0.037842,2.247517,5.567351,-1.588288,-10.314274,95.974223,-4.429346,0.030186,-0.006516,0.000000,0.559900,-0.227060,-0.000000
0.100000,-2.560221,-2.324175,-1.416967,-0.008262,0.013332,-0.003609,0.086161,0.357315,-0.053919,2.153538,6.374697,-1.624387,-8.515970,66.450477,-2.801553,0.036207,-0.008735,0.000000,0.639367,-0.216728,0.000000
0.110000,-2.560299,-2.324023,-1.417007,-0.007294,0.017234,-0.004229,0.107298,0.423962,-0.070277,2.076523,6.914593,-1.644540,-6.920188,42.396645,-1.240245,0.042881,-0.010859,0.000000,0.691285,-0.208145,0.000000
