time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-2.324199,-2.559376,1.416631,-0.018015,-0.003806,0.005154,0.768809,-0.209038,-0.065316,-24.926384,4.218692,0.443768,694.514267,-36.723678,21.763423
0.010000,-2.324344,-2.559424,1.416680,-0.011461,-0.005691,0.004527,0.552521,-0.168621,-0.059826,-18.501924,3.871298,0.650651,592.121237,-32.799632,19.621228
0.020000,-2.324434,-2.559488,1.416722,-0.006767,-0.007189,0.003964,0.395530,-0.131486,-0.052374,-13.049967,3.561822,0.836359,499.926134,-29.138715,17.528727
0.030000,-2.324484,-2.559566,1.416759,-0.003384,-0.008331,0.003485,0.288612,-0.097266,-0.043168,-8.471159,3.287669,1.001397,417.403622,-25.734194,15.487785
0.040000,-2.324505,-2.559654,1.416792,-0.000855,-0.009143,0.003106,0.223510,-0.065623,-0.032413,-4.671403,3.046306,1.146292,344.028367,-22.579335,13.500268
0.050000,-2.324503,-2.559748,1.416822,0.001201,-0.009651,0.002842,0.192883,-0.036239,-0.020308,-1.561852,2.835272,1.271587,279.275034,-19.667404,11.568041
0.060000,-2.324481,-2.559846,1.416849,0.003096,-0.009875,0.002704,0.190252,-0.008824,-0.007045,0.941086,2.652171,1.377844,222.618287,-16.991666,9.692969
0.070000,-2.324440,-2.559945,1.416876,0.005080,-0.009833,0.002704,0.209945,0.016890,0.007188,2.915751,2.494674,1.465643,173.532793,-14.545388,7.876919
0.080000,-2.324379,-2.560042,1.416904,0.007353,-0.009542,0.002850,0.247050,0.041147,0.022208,4.435228,2.360521,1.535585,131.493217,-12.321836,6.121756
0.090000,-2.324292,-2.560135,1.416934,0.010065,-0.009014,0.003150,0.297359,0.064170,0.037842,5.567351,2.247517,1.588288,95.974223,-10.314274,4.429346
0.100000,-2.324175,-2.560221,1.416967,0.013332,-0.008262,0.003609,0.357315,0.086161,0.053919,6.374697,2.153538,1.624387,66.450477,-8.515970,2.801553
0.110000,-2.324023,-2.560299,1.417007,0.017234,-0.007294,0.004229,0.423962,0.107298,0.070277,6.914593,2.076523,1.644540,42.396645,-6.920188,1.240245
0.120000,-2.323828,-2.560366,1.417053,0.021825,-0.006118,0.005015,0.494890,0.127741,0.086759,7.239112,2.014481,1.649420,23.287390,-5.520195,-0.252715
0.130000,-2.323584,-2.560421,1.417107,0.027139,-0.004741,0.005965,0.568183,0.147631,0.103216,7.395072,1.965489,1.639720,8.597379,-4.309257,-1.675459
0.140000,-2.323283,-2.560461,1.417172,0.033192,-0.003167,0.007078,0.642368,0.167088,0.119507,7.424039,1.927688,1.616151,-2.198723,-3.280640,-3.026122
