time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-1.334158,-2.056827,1.409904,0.009286,0.017727,0.007834,-0.082235,-0.838542,-0.066742,-1.167040,18.360373,0.411372,171.704723,-294.178326,-39.205780
0.010000,-1.334070,-2.056689,1.409979,0.008433,0.010212,0.007181,-0.085711,-0.668982,-0.064512,0.433392,15.616706,0.042251,148.715277,-255.181965,-34.668115
0.020000,-1.333989,-2.056618,1.410047,0.007621,0.004262,0.006533,-0.074300,-0.524970,-0.065751,1.813787,13.244495,-0.282971,127.682212,-219.857309,-30.424486
0.030000,-1.333917,-2.056599,1.410109,0.006989,-0.000361,0.005856,-0.050105,-0.402974,-0.070035,2.993252,11.207913,-0.567183,108.513761,-188.026480,-26.464357
0.040000,-1.333849,-2.056621,1.410164,0.006655,-0.003860,0.005123,-0.015044,-0.299807,-0.076967,3.989972,9.472912,-0.813168,91.118158,-159.511602,-22.777197
0.050000,-1.333782,-2.056673,1.410211,0.006719,-0.006410,0.004309,0.029143,-0.212618,-0.086180,4.821218,8.007221,-1.023602,75.403637,-134.134799,-19.352471
0.060000,-1.333713,-2.056747,1.410250,0.007263,-0.008157,0.003393,0.080883,-0.138867,-0.097329,5.503342,6.780349,-1.201057,61.278433,-111.718192,-16.179648
0.070000,-1.333635,-2.056834,1.410279,0.008357,-0.009225,0.002357,0.138764,-0.076311,-0.110099,6.051779,5.763583,-1.347999,48.650780,-92.083906,-13.248192
0.080000,-1.333543,-2.056929,1.410297,0.010055,-0.009714,0.001187,0.201522,-0.022985,-0.124196,6.481044,4.929989,-1.466790,37.428911,-75.054063,-10.547572
0.090000,-1.333432,-2.057027,1.410302,0.012400,-0.009709,-0.000130,0.268033,0.022816,-0.139349,6.804737,4.254413,-1.559685,27.521060,-60.450786,-8.067254
0.100000,-1.333293,-2.057122,1.410294,0.015425,-0.009278,-0.001603,0.337307,0.062552,-0.155310,7.035539,3.713478,-1.628835,18.835462,-48.096199,-5.796704
0.110000,-1.333121,-2.057211,1.410269,0.019152,-0.008474,-0.003238,0.408474,0.097462,-0.171853,7.185215,3.285586,-1.676283,11.280351,-37.812425,-3.725390
0.120000,-1.332908,-2.057290,1.410228,0.023598,-0.007341,-0.005041,0.480777,0.128574,-0.188770,7.264609,2.950920,-1.703971,4.763961,-29.421586,-1.842778
0.130000,-1.332647,-2.057357,1.410168,0.028770,-0.005913,-0.007014,0.553565,0.156731,-0.205873,7.283650,2.691438,-1.713733,-0.805475,-22.745807,-0.138335
0.140000,-1.332330,-2.057408,1.410087,0.034669,-0.004214,-0.009159,0.626279,0.182599,-0.222991,7.251350,2.490880,-1.707297,-5.519721,-17.607210,1.398473
0.150000,-1.331951,-2.057440,1.409984,0.041293,-0.002267,-0.011474,0.698448,0.206696,-0.239970,7.175801,2.334763,-1.686287,-9.470545,-13.827917,2.778178
0.160000,-1.331502,-2.057452,1.409857,0.048635,-0.000085,-0.013957,0.769675,0.229400,-0.256673,7.064178,2.210383,-1.652222,-12.749712,-11.230054,4.011314
0.170000,-1.330976,-2.057441,1.409705,0.056683,0.002318,-0.016606,0.839632,0.250973,-0.272976,6.922739,2.106816,-1.606514,-15.448987,-9.635741,5.108414
0.180000,-1.330366,-2.057405,1.409525,0.065422,0.004931,-0.019415,0.908048,0.271575,-0.288769,6.756825,2.014916,-1.550472,-17.660138,-8.867103,6.080012
0.190000,-1.329665,-2.057342,1.409316,0.074838,0.007746,-0.022379,0.974702,0.291285,-0.303955,6.570858,1.927315,-1.485297,-19.474930,-8.746263,6.936641
0.200000,-1.328867,-2.057250,1.409077,0.084910,0.010754,-0.025492,1.039410,0.310117,-0.318448,6.368342,1.838424,-1.412087,-20.985128,-9.095344,7.688833
0.210000,-1.327965,-2.057126,1.408806,0.095611,0.013957,-0.028745,1.102322,0.327594,-0.332179,6.179533,1.703663,-1.332410,-22.981339,-8.706668,8.361669
0.220000,-1.326953,-2.056970,1.408501,0.106939,0.017317,-0.032132,1.162938,0.344199,-0.345075,5.940602,1.617517,-1.245787,-24.770917,-8.558256,8.949354
0.230000,-1.325824,-2.056779,1.408162,0.118861,0.020838,-0.035644,1.221078,0.359946,-0.357077,5.684783,1.531870,-1.153677,-26.360055,-8.598332,9.460641
0.240000,-1.324573,-2.056553,1.407788,0.131352,0.024513,-0.039271,1.276584,0.374833,-0.368133,5.414049,1.445095,-1.056800,-27.754947,-8.775114,9.904281
0.250000,-1.323195,-2.056289,1.407377,0.144384,0.028332,-0.043003,1.329316,0.388841,-0.378199,5.130311,1.356084,-0.955788,-28.961786,-9.036825,10.289026
0.260000,-1.321684,-2.055986,1.406928,0.157928,0.032291,-0.046831,1.379164,0.401807,-0.387250,4.836436,1.251581,-0.852454,-30.012448,-9.011759,10.655640
0.270000,-1.320035,-2.055642,1.406440,0.171957,0.036370,-0.050744,1.426012,0.413873,-0.395236,4.531804,1.161498,-0.744255,-30.884301,-9.007238,10.976945
0.280000,-1.318243,-2.055258,1.405912,0.186438,0.040565,-0.054732,1.469774,0.425037,-0.402125,4.219336,1.071410,-0.633050,-31.580391,-9.010659,11.257771
0.290000,-1.316305,-2.054831,1.405345,0.201342,0.044867,-0.058783,1.510379,0.435301,-0.407889,3.900772,0.981300,-0.519219,-32.103769,-9.009418,11.502952
0.300000,-1.314215,-2.054360,1.404737,0.216635,0.049268,-0.062886,1.547775,0.444664,-0.412502,3.577826,0.891279,-0.403094,-32.457483,-8.990910,11.717320
0.310000,-1.311971,-2.053845,1.404087,0.232287,0.053759,-0.067029,1.581911,0.453086,-0.415958,3.250798,0.797761,-0.286268,-32.609738,-8.846032,11.938764
0.320000,-1.309568,-2.053285,1.403396,0.248263,0.058328,-0.071201,1.612788,0.460624,-0.418220,2.924607,0.710153,-0.165878,-32.602692,-8.670496,12.135011
0.330000,-1.307005,-2.052678,1.402663,0.264532,0.062968,-0.075389,1.640406,0.467296,-0.419270,2.599251,0.624456,-0.043649,-32.443663,-8.463514,12.306847
0.340000,-1.304277,-2.052025,1.401888,0.281060,0.067671,-0.079582,1.664781,0.473121,-0.419088,2.276216,0.540990,0.080180,-32.139965,-8.224299,12.455055
0.350000,-1.301383,-2.051325,1.401071,0.297817,0.072428,-0.083767,1.685943,0.478124,-0.417661,1.956910,0.460080,0.205376,-31.698915,-7.952062,12.580421
0.360000,-1.298320,-2.050576,1.400213,0.314769,0.077231,-0.087931,1.703929,0.482321,-0.414986,1.642003,0.381001,0.330864,-31.110950,-7.619234,12.705220
0.370000,-1.295087,-2.049780,1.399313,0.331885,0.082072,-0.092062,1.718805,0.485756,-0.411040,1.334339,0.306604,0.458442,-30.402330,-7.255090,12.806115
0.380000,-1.291682,-2.048935,1.398372,0.349135,0.086944,-0.096147,1.730641,0.488465,-0.405814,1.034327,0.235995,0.586901,-29.582437,-6.862119,12.881257
0.390000,-1.288104,-2.048041,1.397390,0.366488,0.091839,-0.100174,1.739520,0.490489,-0.399300,0.743030,0.169450,0.715975,-28.660653,-6.442813,12.928799
0.400000,-1.284352,-2.047098,1.396369,0.383916,0.096752,-0.104129,1.745534,0.491869,-0.391494,0.461422,0.107218,0.845378,-27.646360,-5.999665,12.946894
0.410000,-1.280425,-2.046106,1.395308,0.401389,0.101675,-0.107999,1.748784,0.492646,-0.382395,0.190358,0.049338,0.974617,-26.548388,-5.530378,12.938533
0.420000,-1.276324,-2.045065,1.394209,0.418882,0.106603,-0.111773,1.749379,0.492871,-0.372002,-0.069325,-0.003542,1.103821,-25.376740,-5.042818,12.896439
0.430000,-1.272048,-2.043974,1.393073,0.436369,0.111531,-0.115435,1.747437,0.492592,-0.360320,-0.316962,-0.051468,1.232425,-24.140863,-4.540062,12.818171
0.440000,-1.267597,-2.042834,1.391901,0.453823,0.116453,-0.118975,1.743082,0.491859,-0.347357,-0.551959,-0.094303,1.360055,-22.850208,-4.025188,12.701291
0.450000,-1.262971,-2.041645,1.390694,0.471223,0.121366,-0.122378,1.736442,0.490723,-0.333124,-0.773815,-0.131941,1.486314,-21.514225,-3.501274,12.543357
0.460000,-1.258172,-2.040407,1.389454,0.488545,0.126266,-0.125633,1.727655,0.489239,-0.317632,-0.981743,-0.164201,1.611164,-20.151983,-2.974103,12.332176
0.470000,-1.253201,-2.039120,1.388182,0.505769,0.131150,-0.128727,1.716853,0.487457,-0.300908,-1.176333,-0.191292,1.733244,-18.762134,-2.443717,12.076257
0.480000,-1.248057,-2.037784,1.386880,0.522876,0.136015,-0.131647,1.704175,0.485431,-0.282977,-1.356922,-0.213074,1.852536,-17.352949,-1.912861,11.774355
0.490000,-1.242744,-2.036399,1.385549,0.539847,0.140858,-0.134382,1.689762,0.483213,-0.263868,-1.523356,-0.229557,1.968573,-15.932700,-1.384283,11.425225
0.500000,-1.237261,-2.034967,1.384193,0.556665,0.145679,-0.136921,1.673755,0.480857,-0.243618,-1.675566,-0.240776,2.080878,-14.509658,-0.860729,11.027621
0.510000,-1.231611,-2.033486,1.382812,0.573317,0.150475,-0.139251,1.656305,0.478417,-0.222257,-1.812924,-0.246573,2.189664,-13.108330,-0.350620,10.562519
0.520000,-1.225795,-2.031957,1.381408,0.589787,0.155247,-0.141363,1.637543,0.475943,-0.199841,-1.937047,-0.247568,2.292760,-11.718765,0.149667,10.048631
0.530000,-1.219816,-2.030381,1.379985,0.606064,0.159994,-0.143245,1.617610,0.473483,-0.176420,-2.047360,-0.243619,2.390477,-10.347246,0.638081,9.486886
0.540000,-1.213675,-2.028757,1.378544,0.622136,0.164717,-0.144888,1.596642,0.471086,-0.152051,-2.144073,-0.234853,2.482341,-9.000057,1.112569,8.878218
0.550000,-1.207374,-2.027087,1.377088,0.637993,0.169416,-0.146283,1.574773,0.468801,-0.126794,-2.227463,-0.221421,2.567888,-7.683481,1.571079,8.223558
0.560000,-1.200916,-2.025369,1.375619,0.653628,0.174093,-0.147421,1.552144,0.466676,-0.100708,-2.297075,-0.203224,2.647377,-6.423792,2.004799,7.505789
0.570000,-1.194302,-2.023605,1.374141,0.669034,0.178750,-0.148295,1.528873,0.464751,-0.073871,-2.355182,-0.181087,2.718670,-5.204836,2.419266,6.746102
0.580000,-1.187536,-2.021794,1.372654,0.684204,0.183389,-0.148896,1.505080,0.463067,-0.046360,-2.401320,-0.154907,2.782170,-4.030448,2.813257,5.947638
0.590000,-1.180619,-2.019937,1.371164,0.699134,0.188012,-0.149220,1.480885,0.461665,-0.018255,-2.435952,-0.124894,2.837504,-2.904466,3.185549,5.113540
