time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.490530,-2.327297,-1.453732,0.003098,0.007514,-0.006329,-0.117830,0.021602,0.021943,0.350733,1.681802,0.071823,23.757033,32.348070,-2.917229,0.002207,0.012038,0.000000,0.171826,-0.035739,-0.000000
0.050000,-1.490375,-2.326921,-1.454049,-0.002794,0.008594,-0.005232,-0.100293,0.105692,0.025534,1.538585,3.299205,-0.074038,29.371876,41.325641,-4.503981,0.010801,0.010250,0.000000,0.337067,-0.157300,0.000000
0.100000,-1.490809,-2.326438,-1.454255,-0.006931,0.018083,-0.003776,0.036029,0.351522,0.014539,3.287921,5.814366,-0.378575,16.874315,33.938854,-3.827590,0.035871,-0.003678,0.000000,0.591381,-0.335295,-0.000000
0.150000,-1.491068,-2.325113,-1.454426,0.000809,0.043747,-0.003778,0.228499,0.687129,-0.012323,3.226016,6.693091,-0.456797,-9.812724,4.494133,1.385581,0.069823,-0.023259,0.000000,0.674150,-0.326381,-0.000000
0.200000,-1.490728,-2.322063,-1.454633,0.015919,0.086796,-0.005008,0.358630,1.020832,-0.031141,2.306649,6.263779,-0.240017,-14.650866,-14.561834,5.152981,0.103293,-0.036426,0.000000,0.625932,-0.231947,0.000000
0.250000,-1.489476,-2.316433,-1.454927,0.036672,0.145830,-0.006892,0.459164,1.313507,-0.036325,1.760930,5.236907,0.058501,-10.517056,-23.679269,6.122471,0.132475,-0.046599,0.000000,0.521704,-0.177164,-0.000000
0.300000,-1.487061,-2.307480,-1.455322,0.061835,0.218147,-0.008641,0.534723,1.544522,-0.025290,1.254943,3.895852,0.372231,-10.167318,-28.132518,5.708654,0.155541,-0.054314,0.000000,0.390750,-0.127711,-0.000000
0.350000,-1.483293,-2.294619,-1.455791,0.090145,0.300282,-0.009421,0.584658,1.703092,0.000898,0.744198,2.423656,0.629366,-9.986870,-29.213506,3.972594,0.171611,-0.059533,0.000000,0.249451,-0.078244,-0.000000
0.400000,-1.478046,-2.277452,-1.456265,0.120301,0.388456,-0.008551,0.609143,1.786888,0.037646,0.256256,0.974502,0.769490,-9.171608,-27.546285,1.294246,0.180511,-0.062253,0.000000,0.109885,-0.030506,0.000000
0.450000,-1.471263,-2.255773,-1.456646,0.151059,0.478971,-0.005657,0.610284,1.800542,0.077847,-0.172963,-0.330973,0.758791,-7.722732,-23.840644,-1.715512,0.182590,-0.062626,0.000000,-0.018757,0.012619,-0.000000
0.500000,-1.462941,-2.229555,-1.456830,0.181329,0.568510,-0.000766,0.591847,1.753791,0.113525,-0.516017,-1.409563,0.597939,-5.843201,-18.837124,-4.382619,0.178609,-0.060962,0.000000,-0.129212,0.048486,-0.000000
0.550000,-1.453130,-2.198922,-1.456723,0.210244,0.654350,0.005696,0.558682,1.659586,0.137641,-0.757283,-2.214685,0.320529,-3.765998,-13.237188,-6.144874,0.169648,-0.057697,0.000000,-0.215827,0.075033,-0.000000
0.600000,-1.441916,-2.164120,-1.456261,0.237197,0.734469,0.012998,0.516119,1.532322,0.145578,-0.892617,-2.733281,-0.016549,-1.705768,-7.663918,-6.678935,0.157024,-0.053353,0.000000,-0.275014,0.091055,0.000000
0.650000,-1.429410,-2.125475,-1.455423,0.261856,0.807582,0.020254,0.469420,1.386258,0.135986,-0.927860,-2.981077,-0.347364,0.159788,-2.628433,-5.951200,0.142163,-0.048486,0.000000,-0.305985,0.096443,0.000000
0.700000,-1.415731,-2.083362,-1.454235,0.284139,0.873095,0.026596,0.423333,1.234214,0.110842,-0.876638,-2.996125,-0.611669,1.702094,1.501358,-4.191731,0.126450,-0.043619,0.000000,-0.311086,0.092216,0.000000
0.750000,-1.400996,-2.038166,-1.452763,0.304189,0.931003,0.031338,0.381756,1.086645,0.074819,-0.757650,-2.830941,-0.766537,2.848990,4.518951,-1.811018,0.111076,-0.039194,0.000000,-0.295327,0.080292,-0.000000
0.800000,-1.385312,-1.990261,-1.451102,0.322315,0.981759,0.034078,0.347568,0.951120,0.034188,-0.591739,-2.544230,-0.792770,3.584404,6.374711,0.709990,0.096927,-0.035539,0.000000,-0.265252,0.063037,0.000000
0.850000,-1.368764,-1.939990,-1.449356,0.338946,1.026116,0.034757,0.322582,0.832222,-0.004458,-0.399210,-2.193470,-0.695538,3.939566,7.147850,2.925957,0.084548,-0.032856,0.000000,-0.227625,0.042805,0.000000
0.900000,-1.351417,-1.887650,-1.447626,0.354573,1.064981,0.033633,0.307647,0.731773,-0.035366,-0.197783,-1.829444,-0.500175,3.977844,7.003084,4.506536,0.074154,-0.031238,0.000000,-0.188411,0.021596,-0.000000
0.950000,-1.333307,-1.833492,-1.445992,0.369710,1.099293,0.031220,0.302804,0.649278,-0.054475,-0.001425,-1.493162,-0.244885,3.777254,6.144656,5.277818,0.065694,-0.030687,0.000000,-0.152269,0.000904,-0.000000
1.000000,-1.314446,-1.777720,-1.444504,0.384854,1.129909,0.028185,0.307504,0.582457,-0.059854,0.179943,-1.214979,0.027607,3.414847,4.779284,5.225883,0.058917,-0.031146,0.000000,-0.122483,-0.018269,-0.000000
1.050000,-1.294822,-1.720501,-1.443174,0.400461,1.157539,0.025235,0.320798,0.527780,-0.051715,0.340059,-1.015233,0.277703,2.955768,3.094336,4.470346,0.053439,-0.032518,0.000000,-0.101158,-0.035311,-0.000000
1.100000,-1.274400,-1.661967,-1.441980,0.416933,1.182687,0.023014,0.341510,0.480934,-0.032084,0.475520,-0.905545,0.474642,2.447817,1.251195,3.219659,0.048797,-0.034685,0.000000,-0.089468,-0.049869,0.000000
1.150000,-1.253128,-1.602232,-1.440873,0.434612,1.205632,0.022026,0.368350,0.437225,-0.004250,0.584841,-0.890114,0.599669,1.920840,-0.610854,1.720156,0.044489,-0.037515,0.000000,-0.087841,-0.061736,0.000000
1.200000,-1.230939,-1.541403,-1.439778,0.453769,1.226410,0.022588,0.399994,0.391922,0.027883,0.667604,-0.966631,0.646657,1.389526,-2.366824,0.208896,0.040010,-0.040868,0.000000,-0.096049,-0.070775,0.000000
1.250000,-1.207752,-1.479591,-1.438614,0.474611,1.244824,0.024814,0.435111,0.340562,0.060415,0.723794,-1.126796,0.620559,0.858011,-3.900118,-1.122674,0.034882,-0.044599,0.000000,-0.113220,-0.076879,0.000000
