time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.490530,-2.327297,-1.453732,0.017727,0.009284,-0.007840,-0.838486,-0.082064,0.066763,18.351432,-1.170076,-0.304566,-289.587068,169.825390,-6.719272,-0.008391,0.085847,0.000000,-0.120730,-1.872262,-0.000000
0.010000,-1.490391,-2.327209,-1.453807,0.010213,0.008432,-0.007189,-0.668790,-0.085661,0.063393,15.652167,0.412794,-0.368419,-250.890454,147.083706,-6.048307,-0.008768,0.068510,0.000000,0.041618,-1.600903,-0.000000
0.020000,-1.490320,-2.327128,-1.453876,0.004267,0.007620,-0.006574,-0.524214,-0.074533,0.059418,13.321428,1.778146,-0.425475,-215.852184,126.306215,-5.360309,-0.007633,0.053711,0.000000,0.181863,-1.364581,0.000000
0.030000,-1.490302,-2.327056,-1.453939,-0.000344,0.006984,-0.006002,-0.401253,-0.050759,0.054907,11.323519,2.945154,-0.475580,-184.295112,107.399445,-4.658760,-0.005199,0.041109,0.000000,0.301651,-1.160806,0.000000
0.040000,-1.490323,-2.326988,-1.453996,-0.003819,0.006640,-0.005478,-0.296748,-0.016230,0.049930,9.624513,3.932059,-0.518617,-156.042088,90.269922,-3.947145,-0.001662,0.030395,0.000000,0.402723,-0.986813,0.000000
0.050000,-1.490375,-2.326921,-1.454049,-0.006331,0.006689,-0.005005,-0.207873,0.027339,0.044558,8.192254,4.756165,-0.554501,-130.915967,74.824171,-3.228947,0.002799,0.021283,0.000000,0.486817,-0.839727,0.000000
0.060000,-1.490447,-2.326852,-1.454097,-0.008021,0.007212,-0.004588,-0.132115,0.078405,0.038864,6.996361,5.433843,-0.583185,-108.739599,60.968718,-2.507649,0.008023,0.013520,0.000000,0.555624,-0.716676,-0.000000
0.070000,-1.490533,-2.326775,-1.454141,-0.009009,0.008278,-0.004228,-0.067254,0.135580,0.032918,6.008220,5.980529,-0.604655,-89.335837,48.610092,-1.786736,0.013866,0.006879,0.000000,0.610758,-0.614858,0.000000
0.080000,-1.490625,-2.326685,-1.454181,-0.009395,0.009940,-0.003930,-0.011348,0.197627,0.026795,5.200992,6.410723,-0.618933,-72.527533,37.654816,-1.069691,0.020198,0.001160,0.000000,0.653746,-0.531589,-0.000000
0.090000,-1.490719,-2.326574,-1.454219,-0.009260,0.012243,-0.003693,0.037285,0.263451,0.020564,4.549609,6.737992,-0.626074,-58.137541,28.009419,-0.359997,0.026905,-0.003809,0.000000,0.686022,-0.464328,-0.000000
0.100000,-1.490809,-2.326438,-1.454255,-0.008669,0.015218,-0.003519,0.080086,0.332086,0.014297,4.030771,6.974966,-0.626169,-45.988711,19.580425,0.338862,0.033887,-0.008175,0.000000,0.708924,-0.410698,0.000000
0.110000,-1.490891,-2.326268,-1.454290,-0.007674,0.018891,-0.003407,0.118271,0.402689,0.008063,3.622954,7.133343,-0.619344,-35.903897,12.274362,1.023402,0.041056,-0.012065,0.000000,0.723696,-0.368489,-0.000000
0.120000,-1.490961,-2.326057,-1.454324,-0.006316,0.023276,-0.003357,0.152849,0.474527,0.001932,3.306404,7.223885,-0.605760,-27.705950,5.997755,1.690140,0.048338,-0.015583,0.000000,0.731482,-0.335674,-0.000000
0.130000,-1.491016,-2.325800,-1.454357,-0.004626,0.028384,-0.003368,0.184643,0.546973,-0.004030,3.063136,7.256418,-0.585612,-21.217723,0.657131,2.335592,0.055666,-0.018812,0.000000,0.733333,-0.310404,0.000000
0.140000,-1.491053,-2.325487,-1.454391,-0.002630,0.034216,-0.003437,0.214302,0.619492,-0.009759,2.876941,7.239836,-0.559131,-16.262068,-3.840983,2.956274,0.062988,-0.021820,0.000000,0.730199,-0.291015,0.000000
0.150000,-1.491068,-2.325113,-1.454426,-0.000346,0.040772,-0.003562,0.242323,0.691633,-0.015192,2.733377,7.182095,-0.526581,-12.661838,-7.590063,3.548704,0.070257,-0.024658,0.000000,0.722933,-0.276028,-0.000000
0.160000,-1.491059,-2.324670,-1.454463,0.002212,0.048046,-0.003740,0.269069,0.763020,-0.020271,2.619776,7.090220,-0.488263,-10.239885,-10.683580,4.109397,0.077435,-0.027365,0.000000,0.712289,-0.264149,0.000000
0.170000,-1.491023,-2.324150,-1.454501,0.005032,0.056029,-0.003966,0.294782,0.833344,-0.024940,2.525242,6.970297,-0.444511,-8.819061,-13.215010,4.634870,0.084493,-0.029964,0.000000,0.698921,-0.254268,-0.000000
0.180000,-1.490957,-2.323547,-1.454542,0.008105,0.064709,-0.004237,0.319607,0.902350,-0.029145,2.440648,6.827482,-0.395694,-8.222218,-15.277825,5.121639,0.091406,-0.032472,0.000000,0.683382,-0.245459,-0.000000
0.190000,-1.490860,-2.322853,-1.454586,0.011422,0.074071,-0.004547,0.343604,0.969831,-0.032838,2.358642,6.665991,-0.342218,-8.272209,-16.965500,5.566220,0.098155,-0.034895,0.000000,0.666129,-0.236980,-0.000000
0.200000,-1.490728,-2.322063,-1.454633,0.014974,0.084100,-0.004892,0.366769,1.035618,-0.035975,2.273639,6.489110,-0.284522,-8.791886,-18.371507,5.965131,0.104724,-0.037233,0.000000,0.647516,-0.228268,0.000000
0.210000,-1.490560,-2.321169,-1.454684,0.018766,0.094769,-0.005265,0.388612,1.099872,-0.038513,2.141131,6.327047,-0.222786,-8.576183,-20.292960,6.307472,0.111132,-0.039439,0.000000,0.630608,-0.214844,0.000000
0.220000,-1.490352,-2.320166,-1.454739,0.022758,0.106081,-0.005660,0.409595,1.162098,-0.040420,2.055422,6.115267,-0.158214,-8.601738,-22.033533,6.598083,0.117331,-0.041558,0.000000,0.608906,-0.206209,-0.000000
0.230000,-1.490104,-2.319046,-1.454797,0.026955,0.118004,-0.006071,0.429716,1.222122,-0.041668,1.968463,5.886955,-0.091005,-8.817271,-23.600541,6.834388,0.123306,-0.043591,0.000000,0.585773,-0.197517,0.000000
0.240000,-1.489812,-2.317803,-1.454860,0.031349,0.130515,-0.006491,0.448955,1.279788,-0.042233,1.878614,5.643810,-0.021716,-9.171502,-25.001298,7.013812,0.129043,-0.045537,0.000000,0.561388,-0.188602,-0.000000
