time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-2.313792,-2.641931,1.369760,0.007482,0.003113,0.006436,0.017312,-0.115772,-0.007624,1.560224,0.413889,0.374687,30.883174,24.690823,9.666878
0.050000,-2.313418,-2.641775,1.370082,0.008347,-0.002675,0.006055,0.095324,-0.095077,0.011110,3.104383,1.648431,0.858031,40.024892,30.487374,12.651297
0.100000,-2.312957,-2.642198,1.370366,0.017014,-0.006394,0.007547,0.327751,0.049071,0.078179,5.562713,3.462627,1.639817,34.381400,17.690632,9.794663
0.150000,-2.311716,-2.642415,1.370837,0.041122,0.002232,0.013873,0.651595,0.251185,0.175092,6.542523,3.417494,1.837497,7.565054,-9.780162,-1.771855
0.200000,-2.308845,-2.641975,1.371753,0.082173,0.018724,0.025056,0.982003,0.390821,0.261929,6.319218,2.484611,1.462631,-10.034571,-15.073983,-10.211748
0.250000,-2.303499,-2.640542,1.373342,0.139323,0.041314,0.040065,1.283517,0.499646,0.321355,5.539065,1.910095,0.816323,-18.951742,-11.166894,-14.163379
0.300000,-2.294912,-2.637844,1.375759,0.210525,0.068689,0.057192,1.535910,0.581830,0.343561,4.424044,1.367921,0.046293,-24.342129,-10.959350,-15.264949
0.350000,-2.282446,-2.633673,1.379061,0.292914,0.099497,0.074422,1.725921,0.636439,0.325984,3.104853,0.814160,-0.710172,-27.280943,-10.949225,-13.843910
0.400000,-2.265621,-2.627894,1.383201,0.383117,0.132333,0.089790,1.846395,0.663246,0.272544,1.695950,0.272999,-1.338098,-28.098036,-10.375204,-10.473654
0.450000,-2.244135,-2.620440,1.388040,0.477553,0.165822,0.101676,1.895516,0.663738,0.192175,0.295049,-0.223360,-1.757538,-27.138612,-9.217458,-5.938161
0.500000,-2.217866,-2.611312,1.393369,0.572669,0.198706,0.109007,1.875900,0.640910,0.096790,-1.017911,-0.648747,-1.931914,-24.748159,-7.615694,-1.117606
0.550000,-2.186868,-2.600569,1.398941,0.665143,0.229913,0.111355,1.793725,0.598864,-0.001017,-2.179767,-0.984929,-1.869298,-21.260043,-5.725080,3.154844
0.600000,-2.151352,-2.588321,1.404505,0.752041,0.258593,0.108906,1.657923,0.542417,-0.090140,-3.143916,-1.221255,-1.616429,-17.012243,-3.692783,6.223090
0.650000,-2.111664,-2.574710,1.409832,0.830935,0.284154,0.102341,1.479334,0.476738,-0.162660,-3.880991,-1.354208,-1.246989,-12.351164,-1.655420,7.697304
0.700000,-2.068258,-2.559905,1.414739,0.899975,0.306267,0.092640,1.269824,0.406996,-0.214839,-4.379032,-1.386797,-0.846699,-7.608756,0.268273,7.489542
0.750000,-2.021666,-2.544083,1.419096,0.957918,0.324854,0.080857,1.041430,0.338059,-0.247329,-4.641867,-1.327381,-0.498035,-3.063648,1.989681,5.796626
0.800000,-1.972466,-2.527420,1.422824,1.004118,0.340073,0.067907,0.805637,0.274258,-0.264642,-4.685397,-1.187829,-0.267036,1.093880,3.460568,3.041782
0.850000,-1.921254,-2.510076,1.425886,1.038481,0.352280,0.054393,0.572891,0.219276,-0.274033,-4.532479,-0.981324,-0.193857,4.776091,4.675072,-0.207666
0.900000,-1.868618,-2.492192,1.428264,1.061407,0.362000,0.040504,0.352389,0.176126,-0.284028,-4.207788,-0.720322,-0.287803,7.983342,5.660844,-3.328969
0.950000,-1.815114,-2.473876,1.429937,1.073720,0.369892,0.025990,0.152112,0.147243,-0.302813,-3.734145,-0.415239,-0.526754,10.763945,6.460810,-5.725918
1.000000,-1.761246,-2.455203,1.430863,1.076618,0.376724,0.010222,-0.021025,0.134602,-0.336703,-3.131393,-0.074241,-0.860395,13.159825,7.110204,-6.897849
1.050000,-1.707452,-2.436204,1.430959,1.071618,0.383353,-0.007680,-0.161027,0.139819,-0.388853,-2.418162,0.295781,-1.216539,15.153924,7.614869,-6.495463
1.100000,-1.654084,-2.416867,1.430095,1.060515,0.390706,-0.028663,-0.262841,0.164180,-0.458357,-1.616001,0.687246,-1.509941,16.635532,7.936842,-4.366042
1.150000,-1.601400,-2.397133,1.428093,1.045334,0.399771,-0.053516,-0.322628,0.208544,-0.539847,-0.754609,1.089465,-1.653143,17.396539,7.992145,-0.589087
1.200000,-1.549551,-2.376890,1.424743,1.028253,0.411561,-0.082648,-0.338302,0.273127,-0.623671,0.123653,1.486461,-1.568850,17.165294,7.663710,4.501576
1.250000,-1.498575,-2.355977,1.419828,1.011503,0.427083,-0.115883,-0.310262,0.357190,-0.696732,0.961920,1.855836,-1.202985,15.675778,6.828990,10.319172
1.300000,-1.448401,-2.334182,1.413155,0.997226,0.447280,-0.152321,-0.242110,0.458710,-0.743970,1.691231,2.169360,-0.536932,12.759190,5.397582,16.062174
1.350000,-1.398852,-2.311249,1.404596,0.987292,0.472954,-0.190280,-0.141139,0.574126,-0.750425,2.237840,2.395594,0.403232,8.435095,3.349908,20.800238
1.400000,-1.349671,-2.286887,1.394127,0.983112,0.504692,-0.227363,-0.018326,0.698270,-0.703647,2.534740,2.504351,1.543091,2.973510,0.765053,23.609000
1.450000,-1.300541,-2.260780,1.381859,0.985460,0.542781,-0.260645,0.112335,0.824561,-0.596116,2.535190,2.472100,2.764132,-3.098457,-2.173877,23.739379
1.500000,-1.251125,-2.232608,1.368062,0.994346,0.587149,-0.286975,0.235193,0.945480,-0.427233,2.224895,2.286963,3.917029,-9.059184,-5.203588,20.790743
1.550000,-1.201107,-2.202065,1.353162,1.008979,0.637329,-0.303368,0.334824,1.053257,-0.204413,1.629272,1.951741,4.843207,-14.118780,-8.031736,14.844953
1.600000,-1.150227,-2.168875,1.337725,1.027828,0.692474,-0.307416,0.398120,1.140654,0.057087,0.813017,1.483789,5.401525,-17.585604,-10.404732,6.513374
1.650000,-1.098324,-2.132818,1.322420,1.048791,0.751395,-0.297659,0.416126,1.201636,0.335739,-0.129288,0.911268,5.494544,-19.033113,-12.173237,-3.139545
1.700000,-1.045348,-2.093736,1.307959,1.069441,0.812638,-0.273842,0.385191,1.231781,0.606542,-1.090295,0.266466,5.087570,-18.409700,-13.329484,-12.793412
1.750000,-0.991380,-2.051554,1.295036,1.087310,0.874573,-0.237005,0.307097,1.228283,0.844496,-1.970258,-0.421681,4.215203,-16.037886,-13.994121,-21.135034
1.800000,-0.936617,-2.006279,1.284259,1.100151,0.935466,-0.189393,0.188165,1.189613,1.028062,-2.694083,-1.132947,2.974067,-12.495103,-14.350829,-27.107559
1.850000,-0.881365,-1.958007,1.276097,1.106127,0.993534,-0.134199,0.037688,1.114988,1.141903,-3.219768,-1.856764,1.504447,-8.428226,-14.553071,-30.083317
1.900000,-0.826005,-1.906925,1.270839,1.103919,1.046965,-0.075202,-0.133811,1.003936,1.178506,-3.536906,-2.588254,-0.034265,-4.380657,-14.640846,-29.936069
1.950000,-0.770973,-1.853311,1.268577,1.092746,1.093928,-0.016348,-0.316002,0.856163,1.138477,-3.657834,-3.320848,-1.489160,-0.693322,-14.500044,-27.019262
2.000000,-0.716730,-1.797533,1.269204,1.072319,1.132581,0.038645,-0.499595,0.671851,1.029590,-3.606238,-4.038258,-2.736191,2.499826,-13.878745,-22.070762
2.050000,-0.663741,-1.740053,1.272441,1.042786,1.161113,0.086611,-0.676626,0.452337,0.864858,-3.407852,-4.708723,-3.696236,5.202228,-12.452624,-16.064818
2.100000,-0.612451,-1.681421,1.277865,1.004657,1.177815,0.125131,-0.840380,0.200979,0.659967,-3.086015,-5.283521,-4.342673,7.457083,-9.914039,-10.029380
2.150000,-0.563275,-1.622271,1.284954,0.958748,1.181211,0.152607,-0.985228,-0.076015,0.430590,-2.662143,-5.700127,-4.699174,9.269783,-6.054159,-4.851318
2.200000,-0.516577,-1.563300,1.293126,0.906134,1.170214,0.168190,-1.106594,-0.369033,0.190049,-2.159037,-5.888936,-4.827805,10.578094,-0.817495,-1.103262
2.250000,-0.472662,-1.505250,1.301773,0.848089,1.144307,0.171612,-1.201131,-0.664909,-0.052190,-1.604334,-5.781876,-4.809500,11.269289,5.674456,1.070136
2.300000,-0.431768,-1.448869,1.310287,0.786021,1.103723,0.162971,-1.267028,-0.947221,-0.290901,-1.032108,-5.321491,-4.720791,11.226631,13.120624,1.981115
2.350000,-0.394060,-1.394877,1.318070,0.721386,1.049585,0.142522,-1.304342,-1.197058,-0.524269,-0.481671,-4.469814,-4.611389,10.386484,21.046354,2.336152
2.400000,-0.359629,-1.343911,1.324539,0.655587,0.984017,0.110544,-1.315195,-1.394202,-0.752039,0.006540,-3.216855,-4.487176,8.789518,28.804822,3.087995
2.450000,-0.328501,-1.296476,1.329125,0.589866,0.910165,0.067318,-1.303688,-1.518743,-0.972987,0.397281,-1.589332,-4.302589,6.612202,35.577740,5.214977
2.500000,-0.300643,-1.252894,1.331271,0.525218,0.832143,0.013245,-1.275467,-1.553136,-1.182298,0.667761,0.340918,-3.965678,4.170784,40.414021,9.449971
2.550000,-0.275979,-1.213261,1.330449,0.462320,0.754851,-0.050912,-1.236912,-1.484651,-1.369555,0.814360,2.452070,-3.357592,1.889403,42.323000,16.010378
2.600000,-0.254411,-1.177409,1.326180,0.401527,0.683677,-0.123710,-1.194031,-1.307929,-1.518058,0.856701,4.573219,-2.364640,0.227950,40.427631,24.403691
2.650000,-0.235827,-1.144894,1.318078,0.342917,0.624059,-0.202717,-1.151242,-1.027330,-1.606019,0.837154,6.494834,-0.917223,-0.417653,34.215937,33.380833
2.700000,-0.220119,-1.115003,1.305908,0.286402,0.580944,-0.284312,-1.110315,-0.658445,-1.609780,0.814936,7.994812,0.973443,0.175276,23.836035,41.105848
2.750000,-0.207186,-1.086799,1.289647,0.231885,0.558214,-0.363695,-1.069748,-0.227848,-1.508675,0.854682,8.878437,3.193362,1.962062,10.284303,45.565401
2.800000,-0.196930,-1.059182,1.269539,0.179428,0.558160,-0.435179,-1.024847,0.229398,-1.290444,1.011142,9.023243,5.529983,4.593311,-4.623931,45.128032
2.850000,-0.189244,-1.030983,1.246129,0.129400,0.581154,-0.492740,-0.968634,0.674476,-0.955676,1.314013,8.416044,7.706165,7.466594,-18.568375,39.060654
2.900000,-0.183990,-1.001067,1.220265,0.082564,0.625607,-0.530747,-0.893446,1.071003,-0.519827,1.757801,7.166405,9.436048,9.863428,-29.288584,27.793023
2.950000,-0.180987,-0.968423,1.193054,0.040056,0.688254,-0.544723,-0.792854,1.391116,-0.012071,2.300356,5.487186,10.485467,11.130399,-35.199252,12.816946
3.000000,-0.179985,-0.932241,1.165793,0.003279,0.764719,-0.531954,-0.663410,1.619721,0.528719,2.870841,3.646480,10.717743,10.843209,-35.808580,-3.729450
3.050000,-0.180659,-0.891951,1.139859,-0.026285,0.850226,-0.491851,-0.505770,1.755764,1.059703,3.384677,1.906328,10.112522,8.903197,-31.794177,-19.617057
3.100000,-0.182613,-0.847219,1.116607,-0.047298,0.940295,-0.425984,-0.324943,1.810354,1.539972,3.761161,0.467062,8.756037,5.546634,-24.742692,-33.017486
3.150000,-0.185389,-0.797921,1.097261,-0.058779,1.031262,-0.337853,-0.129654,1.802471,1.935307,3.939340,-0.567942,6.810773,1.277505,-16.676491,-42.786611
3.200000,-0.188491,-0.744092,1.082822,-0.060264,1.120542,-0.232453,0.068992,1.753560,2.221049,3.888911,-1.200587,4.477376,-3.246394,-9.535273,-48.499583
3.250000,-0.191415,-0.685867,1.074015,-0.051880,1.206618,-0.115749,0.259237,1.682412,2.383044,3.614701,-1.521469,1.960815,-7.339759,-4.757836,-50.294986
3.300000,-0.193679,-0.623431,1.071247,-0.034340,1.288784,0.005851,0.430462,1.601413,2.417130,3.154935,-1.676371,-0.552122,-10.401735,-3.045556,-48.638133
3.350000,-0.194849,-0.556989,1.074600,-0.008834,1.366759,0.125965,0.574731,1.514775,2.327832,2.574527,-1.826025,-2.902998,-11.999739,-4.320527,-44.109688
3.400000,-0.194563,-0.486755,1.083844,0.023133,1.440261,0.238634,0.687914,1.418811,2.126831,1.954962,-2.108423,-4.963091,-11.922603,-7.843217,-37.282721
