time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.020496,-1.384397,-1.427540,-0.016322,0.008932,-0.021643,0.329825,-0.086217,0.049795,-8.808477,-0.938144,-0.222600,200.866890,158.872246,33.226463,-0.008828,-0.033780,0.000000,-0.096125,0.902194,-0.000000
0.010000,-2.020644,-1.384312,-1.427754,-0.013432,0.008049,-0.021151,0.251330,-0.087986,0.049163,-6.934802,0.552024,0.089652,174.272763,139.407715,29.268791,-0.009011,-0.025743,0.000000,0.056284,0.709736,-0.000000
0.020000,-2.020767,-1.384236,-1.427963,-0.011238,0.007219,-0.020650,0.190283,-0.075801,0.051460,-5.315113,1.854836,0.363658,150.051255,121.391009,25.575769,-0.007766,-0.019497,0.000000,0.189654,0.543713,-0.000000
0.030000,-2.020870,-1.384167,-1.428167,-0.009577,0.006573,-0.020113,0.144259,-0.051466,0.056317,-3.926237,2.984471,0.602017,128.091860,104.762421,22.137570,-0.005276,-0.014789,0.000000,0.305585,0.401533,0.000000
0.040000,-2.020960,-1.384104,-1.428365,-0.008310,0.006224,-0.019516,0.111062,-0.016644,0.063390,-2.746104,3.954512,0.807226,108.284070,89.462238,18.944370,-0.001708,-0.011394,0.000000,0.405558,0.280769,-0.000000
0.050000,-2.021038,-1.384042,-1.428557,-0.007319,0.006270,-0.018839,0.088711,0.027136,0.072359,-1.753752,4.777945,0.981688,90.517380,75.430752,15.986342,0.002787,-0.009110,0.000000,0.490929,0.179166,0.000000
0.060000,-2.021107,-1.383977,-1.428742,-0.006505,0.006792,-0.018063,0.075428,0.078468,0.082929,-0.929321,5.467157,1.127704,74.681281,62.608252,13.253662,0.008067,-0.007754,0.000000,0.562943,0.094632,-0.000000
0.070000,-2.021168,-1.383904,-1.428918,-0.005786,0.007860,-0.017176,0.069628,0.136071,0.094826,-0.254059,6.033941,1.247480,60.665266,50.935028,10.736504,0.014005,-0.007167,0.000000,0.622747,0.025227,0.000000
0.080000,-2.021222,-1.383817,-1.429085,-0.005093,0.009531,-0.016163,0.069908,0.198776,0.107798,0.289683,6.489490,1.343120,48.358830,40.351370,8.425041,0.020484,-0.007205,0.000000,0.671400,-0.030847,-0.000000
0.090000,-2.021270,-1.383711,-1.429241,-0.004371,0.011849,-0.015017,0.075038,0.265525,0.121615,0.718448,6.844401,1.416633,37.651464,30.797567,6.309449,0.027399,-0.007745,0.000000,0.709891,-0.075255,-0.000000
0.100000,-2.021310,-1.383578,-1.429385,-0.003579,0.014851,-0.013729,0.083945,0.335362,0.136063,1.047674,7.108675,1.469929,28.432662,22.213911,4.379901,0.034651,-0.008677,0.000000,0.739146,-0.109543,-0.000000
0.110000,-2.021341,-1.383412,-1.429515,-0.002683,0.018564,-0.012294,0.095708,0.407428,0.150952,1.291695,7.291714,1.504819,20.591916,14.540690,2.626573,0.042154,-0.009908,0.000000,0.760036,-0.135139,-0.000000
0.120000,-2.021363,-1.383205,-1.429630,-0.001658,0.023005,-0.010709,0.109540,0.480955,0.166104,1.463738,7.402325,1.523015,14.018721,7.718194,1.039639,0.049827,-0.011358,0.000000,0.773381,-0.153362,-0.000000
0.130000,-2.021374,-1.382949,-1.429729,-0.000488,0.028186,-0.008972,0.124783,0.555260,0.181362,1.575926,7.448715,1.526133,8.602568,1.686714,-0.390727,0.057599,-0.012959,0.000000,0.779957,-0.165422,0.000000
0.140000,-2.021372,-1.382638,-1.429809,0.000840,0.034111,-0.007082,0.140895,0.629741,0.196582,1.639277,7.438497,1.515690,4.232951,-3.613460,-1.674351,0.065406,-0.014655,0.000000,0.780491,-0.172424,-0.000000
0.150000,-2.021356,-1.382264,-1.429870,0.002332,0.040779,-0.005041,0.157439,0.703865,0.211635,1.663705,7.378684,1.493103,0.799363,-8.242040,-2.821058,0.073191,-0.016401,0.000000,0.775665,-0.175366,0.000000
0.160000,-2.021325,-1.381820,-1.429909,0.003989,0.048185,-0.002850,0.174069,0.777170,0.226408,1.658016,7.275695,1.459692,-1.808703,-12.258734,-3.840674,0.080903,-0.018161,0.000000,0.766112,-0.175139,-0.000000
0.170000,-2.021276,-1.381298,-1.429926,0.005813,0.056318,-0.000514,0.190525,0.849254,0.240797,1.629914,7.135350,1.416680,-3.701754,-15.723253,-4.743024,0.088499,-0.019908,0.000000,0.752416,-0.172530,0.000000
0.180000,-2.021208,-1.380692,-1.429919,0.007799,0.065165,0.001964,0.206615,0.919770,0.254713,1.585996,6.962872,1.365190,-4.990298,-18.695307,-5.537934,0.095940,-0.021620,0.000000,0.735113,-0.168214,0.000000
0.190000,-2.021119,-1.379993,-1.429886,0.009943,0.074708,0.004579,0.222210,0.988420,0.268076,1.531755,6.762887,1.306247,-5.784840,-21.234606,-6.235229,0.103191,-0.023284,0.000000,0.714680,-0.162758,0.000000
0.200000,-2.021009,-1.379195,-1.429827,0.012241,0.084926,0.007324,0.237230,1.054950,0.280816,1.471578,6.539423,1.240778,-6.195889,-23.400861,-6.844735,0.110224,-0.024890,0.000000,0.691546,-0.156616,-0.000000
0.210000,-2.020874,-1.378292,-1.429740,0.014679,0.095795,0.010193,0.251902,1.119288,0.292879,1.433486,6.309350,1.170228,-6.958786,-25.593145,-7.391844,0.117029,-0.026462,0.000000,0.667467,-0.152717,-0.000000
0.220000,-2.020715,-1.377277,-1.429623,0.017268,0.107299,0.013179,0.265879,1.181069,0.304204,1.361093,6.043694,1.093870,-7.482693,-27.490251,-7.868909,0.123566,-0.027963,0.000000,0.639462,-0.145174,-0.000000
0.230000,-2.020528,-1.376144,-1.429476,0.019994,0.119407,0.016274,0.279109,1.240103,0.314742,1.284515,5.760468,1.013057,-7.801606,-29.110332,-8.283850,0.129812,-0.029386,0.000000,0.609417,-0.137133,0.000000
0.240000,-2.020314,-1.374887,-1.429297,0.022848,0.132091,0.019471,0.291561,1.296229,0.324452,1.205631,5.462351,0.928373,-7.949521,-30.471544,-8.644586,0.135748,-0.030728,0.000000,0.577634,-0.128792,-0.000000
0.250000,-2.020071,-1.373500,-1.429086,0.025822,0.145322,0.022760,0.303220,1.349309,0.333298,1.125981,5.151840,0.840320,-7.960436,-31.592042,-8.959037,0.141360,-0.031985,0.000000,0.544395,-0.120316,-0.000000
0.260000,-2.019798,-1.371979,-1.428842,0.028907,0.159066,0.026133,0.314165,1.399261,0.341262,1.054320,4.833982,0.750603,-8.059152,-32.558930,-9.267529,0.146636,-0.033167,0.000000,0.510259,-0.112630,-0.000000
0.270000,-2.019493,-1.370318,-1.428563,0.032100,0.173295,0.029582,0.324304,1.445960,0.348300,0.973624,4.504449,0.656531,-8.065497,-33.312972,-9.541607,0.151561,-0.034262,0.000000,0.474765,-0.103951,0.000000
0.280000,-2.019155,-1.368512,-1.428250,0.035391,0.187974,0.033096,0.333638,1.489329,0.354384,0.893283,4.168399,0.559873,-7.990102,-33.863879,-9.785222,0.156128,-0.035270,0.000000,0.438484,-0.095267,0.000000
0.290000,-2.018784,-1.366557,-1.427901,0.038770,0.203070,0.036666,0.342174,1.529313,0.359490,0.814059,3.827816,0.460915,-7.843601,-34.221365,-10.002325,0.160329,-0.036191,0.000000,0.401642,-0.086664,0.000000
0.300000,-2.018380,-1.364449,-1.427516,0.042232,0.218549,0.040283,0.349925,1.565876,0.363596,0.736612,3.484584,0.359902,-7.636626,-34.395142,-10.196868,0.164160,-0.037026,0.000000,0.364451,-0.078215,-0.000000
0.310000,-2.017940,-1.362184,-1.427095,0.045766,0.234376,0.043934,0.356936,1.599003,0.366696,0.663558,3.140672,0.258320,-7.431961,-34.399435,-10.405143,0.167618,-0.037780,0.000000,0.327151,-0.070202,-0.000000
0.320000,-2.017464,-1.359760,-1.426637,0.049367,0.250518,0.047613,0.363204,1.628692,0.368756,0.590453,2.797347,0.153305,-7.181701,-34.238892,-10.594801,0.170703,-0.038451,0.000000,0.289839,-0.062154,-0.000000
0.330000,-2.016952,-1.357173,-1.426143,0.053027,0.266939,0.051306,0.368754,1.654958,0.369756,0.520061,2.456413,0.046486,-6.890095,-33.922670,-10.765831,0.173416,-0.039042,0.000000,0.252738,-0.054370,-0.000000
0.340000,-2.016403,-1.354421,-1.425611,0.056740,0.283606,0.055004,0.373616,1.677833,0.369680,0.452775,2.119382,-0.061950,-6.561388,-33.459930,-10.918225,0.175759,-0.039556,0.000000,0.216015,-0.046894,0.000000
0.350000,-2.015817,-1.351500,-1.425043,0.060498,0.300484,0.058696,0.377821,1.697364,0.368512,0.388943,1.787672,-0.171816,-6.199827,-32.859832,-11.051974,0.177738,-0.039996,0.000000,0.179829,-0.039766,0.000000
0.360000,-2.015193,-1.348410,-1.424437,0.064294,0.317542,0.062370,0.381412,1.713608,0.366248,0.329342,1.462477,-0.282148,-5.821483,-32.128110,-11.186756,0.179358,-0.040366,0.000000,0.144328,-0.033073,0.000000
0.370000,-2.014531,-1.345149,-1.423795,0.068124,0.334746,0.066017,0.384421,1.726640,0.362865,0.273127,1.145352,-0.394602,-5.417332,-31.277768,-11.300464,0.180627,-0.040669,0.000000,0.109651,-0.026724,-0.000000
0.380000,-2.013831,-1.341715,-1.423117,0.071981,0.352064,0.069624,0.386889,1.736545,0.358353,0.221072,0.837285,-0.508079,-4.990172,-30.318385,-11.390679,0.181554,-0.040911,0.000000,0.075926,-0.020806,0.000000
0.390000,-2.013091,-1.338107,-1.422403,0.075860,0.369467,0.073180,0.388857,1.743419,0.352701,0.173391,0.539316,-0.622330,-4.542803,-29.259540,-11.454981,0.182149,-0.041094,0.000000,0.043272,-0.015344,0.000000
0.400000,-2.012313,-1.334326,-1.421654,0.079756,0.386923,0.076674,0.390372,1.747368,0.345904,0.130274,0.252394,-0.737084,-4.078024,-28.110811,-11.490952,0.182424,-0.041224,0.000000,0.011797,-0.010360,0.000000
0.410000,-2.011496,-1.330369,-1.420870,0.083666,0.404405,0.080094,0.391479,1.748507,0.337960,0.091982,-0.022555,-0.851952,-3.601229,-26.883724,-11.498538,0.182390,-0.041306,0.000000,-0.018388,-0.005884,-0.000000
0.420000,-2.010640,-1.326237,-1.420052,0.087585,0.421884,0.083429,0.392227,1.746959,0.328865,0.058405,-0.284957,-0.966837,-3.112304,-25.585673,-11.472663,0.182060,-0.041346,0.000000,-0.047217,-0.001906,0.000000
0.430000,-2.009745,-1.321931,-1.419202,0.091509,0.439335,0.086668,0.392664,1.742853,0.318624,0.029768,-0.534063,-1.081285,-2.613731,-24.225998,-11.410617,0.181450,-0.041347,0.000000,-0.074598,0.001548,0.000000
0.440000,-2.008810,-1.317451,-1.418319,0.095437,0.456733,0.089798,0.392839,1.736324,0.307243,0.006155,-0.769303,-1.194920,-2.107991,-22.814040,-11.309690,0.180573,-0.041316,0.000000,-0.100460,0.004469,-0.000000
0.450000,-2.007836,-1.312797,-1.417406,0.099365,0.474054,0.092809,0.392804,1.727514,0.294730,-0.012376,-0.990201,-1.307340,-1.597566,-21.359139,-11.167175,0.179446,-0.041258,0.000000,-0.124742,0.006849,-0.000000
0.460000,-2.006823,-1.307970,-1.416463,0.103293,0.491276,0.095689,0.392610,1.716573,0.281096,-0.025697,-1.196005,-1.418602,-1.087258,-19.879959,-10.968094,0.178084,-0.041179,0.000000,-0.147363,0.008676,-0.000000
0.470000,-2.005770,-1.302972,-1.415493,0.107217,0.508379,0.098427,0.392307,1.703644,0.266365,-0.034018,-1.387299,-1.527098,-0.576943,-18.375376,-10.723506,0.176504,-0.041084,0.000000,-0.168351,0.009968,-0.000000
