time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.453827,-2.374797,-1.401179,-0.010838,0.007090,-0.020526,0.053713,0.018349,0.012712,0.456706,1.609159,-0.083558,2.997668,31.823943,-4.371978,0.001873,-0.005482,0.000000,0.164226,-0.046567,-0.000000
0.050000,-1.454369,-2.374442,-1.402206,-0.008152,0.008008,-0.019890,0.076548,0.098807,0.008534,0.606589,3.200356,-0.302157,5.005577,41.166947,-5.948475,0.010080,-0.007810,0.000000,0.326159,-0.061640,-0.000000
0.100000,-1.454642,-2.373996,-1.403168,-0.003183,0.016971,-0.019672,0.114371,0.338385,-0.017504,0.957264,5.725854,-0.678406,8.704513,34.780164,-4.370097,0.034416,-0.011637,0.000000,0.579494,-0.096533,0.000000
0.150000,-1.454687,-2.372745,-1.404173,0.003285,0.041846,-0.021640,0.172274,0.671392,-0.059306,1.477041,6.678373,-0.739167,8.394023,5.664058,2.260355,0.067913,-0.017454,0.000000,0.668216,-0.147966,0.000000
0.200000,-1.454314,-2.369811,-1.405332,0.014044,0.084110,-0.025603,0.262076,1.006222,-0.091420,1.796666,6.292260,-0.452370,2.126879,-14.157662,7.097457,0.101241,-0.026462,0.000000,0.623706,-0.179198,0.000000
0.250000,-1.453283,-2.364334,-1.406733,0.029492,0.142468,-0.030782,0.351941,1.300618,-0.104543,1.689728,5.262606,-0.029421,-3.643779,-23.826837,8.813534,0.130357,-0.035483,0.000000,0.520339,-0.168666,-0.000000
0.300000,-1.451364,-2.355564,-1.408411,0.049238,0.214172,-0.036057,0.431048,1.532483,-0.094362,1.432288,3.909576,0.428983,-5.754228,-28.245759,8.564259,0.153368,-0.043494,0.000000,0.390734,-0.144504,-0.000000
0.350000,-1.448359,-2.342917,-1.410339,0.072597,0.295716,-0.040219,0.495170,1.691576,-0.061645,1.114306,2.438031,0.827004,-6.597962,-29.094747,6.591598,0.169500,-0.050119,0.000000,0.252599,-0.115114,-0.000000
0.400000,-1.444105,-2.325993,-1.412432,0.098755,0.383329,-0.042222,0.542479,1.776286,-0.011662,0.772492,1.000101,1.088143,-6.852496,-27.279976,3.412744,0.178653,-0.055177,0.000000,0.117019,-0.083168,0.000000
0.450000,-1.438483,-2.304584,-1.414561,0.126845,0.473345,-0.041385,0.572419,1.791586,0.047169,0.429056,-0.289967,1.168279,-6.708637,-23.521775,-0.262934,0.181187,-0.058565,0.000000,-0.008005,-0.049958,-0.000000
