time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-2.374797,-1.453827,1.401179,0.007090,-0.010838,0.020526,0.018349,0.053713,-0.012712,1.609159,0.456706,0.083558,31.823943,2.997668,4.371978
0.050000,-2.374442,-1.454369,1.402206,0.008008,-0.008152,0.019890,0.098807,0.076548,-0.008534,3.200356,0.606589,0.302157,41.166947,5.005577,5.948475
0.100000,-2.373996,-1.454642,1.403168,0.016971,-0.003183,0.019672,0.338385,0.114371,0.017504,5.725854,0.957264,0.678406,34.780164,8.704513,4.370097
0.150000,-2.372745,-1.454687,1.404173,0.041846,0.003285,0.021640,0.671392,0.172274,0.059306,6.678373,1.477041,0.739167,5.664058,8.394023,-2.260355
0.200000,-2.369811,-1.454314,1.405332,0.084110,0.014044,0.025603,1.006222,0.262076,0.091420,6.292260,1.796666,0.452370,-14.157662,2.126879,-7.097457
0.250000,-2.364334,-1.453283,1.406733,0.142468,0.029492,0.030782,1.300618,0.351941,0.104543,5.262606,1.689728,0.029421,-23.826837,-3.643779,-8.813534
0.300000,-2.355564,-1.451364,1.408411,0.214172,0.049238,0.036057,1.532483,0.431048,0.094362,3.909576,1.432288,-0.428983,-28.245759,-5.754228,-8.564259
0.350000,-2.342917,-1.448359,1.410339,0.295716,0.072597,0.040219,1.691576,0.495170,0.061645,2.438031,1.114306,-0.827004,-29.094747,-6.597962,-6.591598
0.400000,-2.325993,-1.444105,1.412432,0.383329,0.098755,0.042222,1.776286,0.542479,0.011662,1.000101,0.772492,-1.088143,-27.279976,-6.852496,-3.412744
0.450000,-2.304584,-1.438483,1.414561,0.473345,0.126845,0.041385,1.791586,0.572419,-0.047169,-0.289967,0.429056,-1.168279,-23.521775,-6.708637,0.262934
0.500000,-2.278658,-1.431420,1.416571,0.562488,0.155997,0.037505,1.747289,0.585385,-0.105166,-1.352076,0.101628,-1.061849,-18.489817,-6.241000,3.690190
0.550000,-2.248335,-1.422884,1.418311,0.648074,0.185384,0.030868,1.656378,0.582582,-0.153354,-2.138949,-0.195044,-0.799260,-12.827192,-5.510517,6.250676
0.600000,-2.213851,-1.412882,1.419658,0.728126,0.214255,0.022169,1.533394,0.565880,-0.185092,-2.634795,-0.449424,-0.436782,-7.136764,-4.586615,7.570797
0.650000,-2.175522,-1.401458,1.420528,0.801413,0.241972,0.012359,1.392899,0.537639,-0.197032,-2.852625,-0.653705,-0.042180,-1.945993,-3.544959,7.568024
0.700000,-2.133710,-1.388685,1.420894,0.867416,0.268019,0.002466,1.248132,0.500510,-0.189310,-2.829395,-0.803920,0.320021,2.335474,-2.457602,6.424141
0.750000,-2.088781,-1.374656,1.420775,0.926226,0.292023,-0.006572,1.109959,0.457247,-0.165030,-2.619078,-0.899466,0.600234,5.448143,-1.382372,4.503686
0.800000,-2.041087,-1.359483,1.420236,0.978412,0.313744,-0.014037,0.986224,0.410563,-0.129287,-2.284580,-0.942157,0.770389,7.292086,-0.355663,2.246655
0.850000,-1.990940,-1.343282,1.419371,1.024849,0.333079,-0.019501,0.881501,0.363032,-0.087991,-1.889869,-0.935032,0.824900,7.910450,0.609054,0.065519
0.900000,-1.938602,-1.326175,1.418286,1.066562,0.350047,-0.022836,0.797237,0.317060,-0.046797,-1.493535,-0.881252,0.776941,7.453782,1.516575,-1.730535
0.950000,-1.884284,-1.308277,1.417088,1.104573,0.364785,-0.024180,0.732148,0.274906,-0.010297,-1.144491,-0.783374,0.651846,6.137152,2.380747,-2.972718
1.000000,-1.828145,-1.289696,1.415868,1.139777,0.377538,-0.023866,0.682788,0.238722,0.018388,-0.879820,-0.643177,0.479669,4.201643,3.213475,-3.631380
1.050000,-1.770306,-1.270523,1.414701,1.172851,0.388657,-0.022341,0.644166,0.210589,0.037670,-0.724327,-0.462027,0.288708,1.887175,4.014750,-3.785376
1.100000,-1.710860,-1.250830,1.413634,1.204193,0.398597,-0.020099,0.610355,0.192520,0.047259,-0.691103,-0.241702,0.101132,-0.582046,4.765681,-3.575518
1.150000,-1.649887,-1.230664,1.412691,1.233887,0.407909,-0.017616,0.575056,0.186418,0.047783,-0.782531,0.014541,-0.068844,-3.002484,5.425689,-3.155978
1.200000,-1.587471,-1.210040,1.411873,1.261699,0.417238,-0.015320,0.532102,0.193974,0.040374,-0.991351,0.300867,-0.214466,-5.191420,5.934121,-2.654925
1.250000,-1.523717,-1.188940,1.411159,1.287097,0.427306,-0.013578,0.475920,0.216505,0.026336,-1.301673,0.607953,-0.334336,-6.986667,6.215979,-2.151293
1.300000,-1.458761,-1.167309,1.410515,1.309291,0.438889,-0.012687,0.401935,0.254769,0.006941,-1.690018,0.922465,-0.429595,-8.248637,6.191199,-1.669704
1.350000,-1.392788,-1.145051,1.409890,1.327290,0.452783,-0.012884,0.306919,0.308752,-0.016623,-2.126537,1.227073,-0.501307,-8.865668,5.787239,-1.191154
1.400000,-1.326032,-1.122031,1.409226,1.339983,0.469764,-0.014349,0.189281,0.377476,-0.043190,-2.576585,1.501189,-0.548711,-8.762302,4.955045,-0.673957
1.450000,-1.258789,-1.098075,1.408456,1.346219,0.490531,-0.017203,0.049260,0.458871,-0.071494,-3.002767,1.722578,-0.568702,-7.909570,3.688010,-0.078032
1.500000,-1.191410,-1.072977,1.407506,1.344909,0.515651,-0.021499,-0.110996,0.549734,-0.100060,-3.367542,1.869990,-0.556514,-6.335405,2.040980,0.614493
1.550000,-1.124298,-1.046509,1.406306,1.335119,0.545504,-0.027209,-0.287494,0.645870,-0.127146,-3.636308,1.926676,-0.507253,-4.131243,0.140834,1.388727
1.600000,-1.057898,-1.018427,1.404785,1.316159,0.580238,-0.034213,-0.474626,0.742402,-0.150785,-3.780666,1.884073,-0.417641,-1.450034,-1.822409,2.200071
1.650000,-0.992682,-0.988486,1.402884,1.287656,0.619745,-0.042288,-0.665561,0.834277,-0.168910,-3.781311,1.744435,-0.287246,1.506558,-3.626580,2.987669
1.700000,-0.929133,-0.956453,1.400557,1.249603,0.663666,-0.051104,-0.852758,0.916845,-0.179510,-3.630010,1.521415,-0.118874,4.509518,-5.059616,3.688753
1.750000,-0.867722,-0.922119,1.397774,1.202381,0.711429,-0.060238,-1.028562,0.986418,-0.180797,-3.330359,1.238473,0.081629,7.327651,-5.957949,4.245489
1.800000,-0.808895,-0.885310,1.394533,1.146747,0.762308,-0.069184,-1.185793,1.040693,-0.171347,-2.897245,0.925620,0.305675,9.752052,-6.232190,4.602954
1.850000,-0.753047,-0.845888,1.390856,1.083801,0.815498,-0.077373,-1.318286,1.078980,-0.150230,-2.355154,0.615254,0.541925,11.616638,-5.878183,4.702979
1.900000,-0.700515,-0.803760,1.386795,1.014918,0.870206,-0.084207,-1.421309,1.102218,-0.117155,-1.735581,0.337802,0.775972,12.812491,-4.974783,4.480397
1.950000,-0.651556,-0.758868,1.382435,0.941670,0.925720,-0.089089,-1.491844,1.112761,-0.072633,-1.073905,0.117776,0.989964,13.294456,-3.671028,3.866716
2.000000,-0.606348,-0.711188,1.377886,0.865734,0.981482,-0.091470,-1.528699,1.113996,-0.018158,-0.406136,-0.029301,1.162644,13.079804,-2.166073,2.802998
2.050000,-0.564982,-0.660720,1.373288,0.788800,1.037120,-0.090904,-1.532458,1.109830,0.043632,0.234076,-0.098831,1.270264,12.239425,-0.685675,1.260107
2.100000,-0.527468,-0.607476,1.368796,0.712488,1.092465,-0.087107,-1.505292,1.104113,0.108868,0.817807,-0.097868,1.288655,10.881653,0.540925,-0.738196
2.150000,-0.493733,-0.551473,1.364577,0.638271,1.147531,-0.080018,-1.450677,1.100044,0.172497,1.322241,-0.044739,1.196445,9.130727,1.301058,-3.095029
2.200000,-0.463640,-0.492723,1.360794,0.567421,1.202469,-0.069857,-1.373068,1.099639,0.228513,1.730880,0.032237,0.979152,7.105904,1.415197,-5.628449
2.250000,-0.436991,-0.431226,1.357591,0.500964,1.257495,-0.057166,-1.277589,1.103267,0.270412,2.032831,0.096781,0.633600,4.908015,0.751989,-8.072025
2.300000,-0.413544,-0.366973,1.355078,0.439662,1.312796,-0.042816,-1.169785,1.109317,0.291873,2.221681,0.107436,0.171949,2.616957,-0.754812,-10.090612
2.350000,-0.393025,-0.299947,1.353310,0.383986,1.368427,-0.027979,-1.055421,1.114011,0.287607,2.294527,0.021300,-0.375461,0.300413,-3.085279,-11.312144
2.400000,-0.375145,-0.230131,1.352280,0.334120,1.424197,-0.014055,-0.940332,1.111447,0.254327,2.251722,-0.201092,-0.959265,-1.967895,-6.110374,-11.374000
2.450000,-0.359613,-0.157527,1.351904,0.289953,1.479571,-0.002546,-0.830249,1.093902,0.191681,2.097737,-0.589738,-1.512861,-4.085384,-9.573862,-9.981500
2.500000,-0.346150,-0.082173,1.352025,0.251095,1.533587,0.005113,-0.730558,1.052473,0.103041,1.843184,-1.158478,-1.957415,-5.902928,-13.087659,-6.976183
2.550000,-0.334504,-0.004168,1.352416,0.216897,1.584819,0.007758,-0.645930,0.978054,-0.004061,1.507445,-1.898504,-2.210480,-7.224207,-16.150008,-2.408996
2.600000,-0.324460,0.076308,1.352801,0.186502,1.631393,0.004707,-0.579814,0.862623,-0.118007,1.120763,-2.773479,-2.198315,-7.830671,-18.196588,3.394844
2.650000,-0.315854,0.158971,1.352886,0.158916,1.671081,-0.004043,-0.533854,0.700706,-0.223892,0.724378,-3.718162,-1.870995,-7.531747,-18.690121,9.803582
2.700000,-0.308569,0.243416,1.352397,0.133116,1.701463,-0.017682,-0.507376,0.490806,-0.305107,0.367589,-4.642491,-1.217956,-6.229181,-17.241419,15.909436
2.750000,-0.302542,0.329117,1.351118,0.108178,1.720161,-0.034554,-0.497095,0.236457,-0.345688,0.101459,-5.442304,-0.280052,-3.976220,-13.737273,20.645872
2.800000,-0.297751,0.415433,1.348941,0.083407,1.725109,-0.052251,-0.497230,-0.053424,-0.333112,-0.030034,-6.016218,0.846631,-1.008208,-8.431986,22.991653
2.850000,-0.294201,0.501628,1.345893,0.058455,1.714819,-0.067865,-0.500099,-0.365165,-0.261025,0.000639,-6.285503,2.019114,2.275846,-1.947908,22.220357
2.900000,-0.291905,0.586915,1.342155,0.033397,1.688592,-0.078354,-0.497166,-0.681974,-0.131201,0.197551,-6.211009,3.068666,5.386212,4.851618,18.114755
2.950000,-0.290862,0.670488,1.338058,0.008738,1.646622,-0.080985,-0.480344,-0.986266,0.045842,0.539260,-5.800341,3.830589,7.857832,11.090701,11.064602
3.000000,-0.291032,0.751577,1.334056,-0.014638,1.589966,-0.073769,-0.443240,-1.262008,0.251858,0.983334,-5.101939,4.175127,9.369859,16.118624,2.011348
3.050000,-0.292325,0.829484,1.330681,-0.035586,1.520421,-0.055799,-0.382010,-1.496459,0.463355,1.476246,-4.188479,4.031724,9.808975,19.657726,-7.739468
3.100000,-0.294590,0.903619,1.328476,-0.052839,1.440320,-0.027434,-0.295616,-1.680856,0.655031,1.964232,-3.136166,3.401180,9.274456,21.808476,-16.772661
3.150000,-0.297609,0.973516,1.327937,-0.065147,1.352335,0.009704,-0.185587,-1.810076,0.803473,2.403691,-2.007631,2.354458,8.047023,22.920665,-23.812424
3.200000,-0.301105,1.038852,1.329447,-0.071397,1.259312,0.052913,-0.055246,-1.881619,0.890476,2.768934,-0.844100,1.019937,6.480959,23.391733,-27.923410
