time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-2.375441,-2.598522,1.359447,0.008927,-0.016323,0.021652,-0.085898,0.329896,-0.049952,-0.913841,-8.813296,0.077129,147.940258,204.385733,35.159987
0.010000,-2.375356,-2.598670,1.359661,0.008046,-0.013432,0.021162,-0.087937,0.251528,-0.047480,0.476666,-6.904778,0.411502,130.391654,177.723543,31.733850
0.020000,-2.375280,-2.598793,1.359871,0.007211,-0.011233,0.020713,-0.076926,0.190952,-0.041834,1.698505,-5.250898,0.712191,114.196720,153.439421,28.423098
0.030000,-2.375212,-2.598896,1.360076,0.006545,-0.009562,0.020335,-0.054485,0.145739,-0.033345,2.764915,-3.828434,0.980349,99.296004,131.421887,25.227679
0.040000,-2.375148,-2.598985,1.360278,0.006155,-0.008275,0.020054,-0.022104,0.113686,-0.022331,3.688541,-2.615277,1.217129,85.630055,111.559461,22.147541
0.050000,-2.375087,-2.599063,1.360477,0.006132,-0.007251,0.019896,0.018850,0.092806,-0.009103,4.481433,-1.590433,1.423684,73.139418,93.740661,19.182633
0.060000,-2.375024,-2.599131,1.360676,0.006556,-0.006387,0.019879,0.067127,0.081316,0.006045,5.155049,-0.734023,1.601165,61.764643,77.854009,16.332902
0.070000,-2.374954,-2.599191,1.360875,0.007495,-0.005598,0.020022,0.121590,0.077626,0.022828,5.720248,-0.027284,1.750725,51.446278,63.788022,13.598297
0.080000,-2.374872,-2.599243,1.361077,0.009005,-0.004813,0.020340,0.181205,0.080330,0.040971,6.187297,0.547435,1.873515,42.124869,51.431221,10.978767
0.090000,-2.374772,-2.599287,1.361283,0.011133,-0.003975,0.020845,0.245041,0.088190,0.060212,6.565870,1.006666,1.970684,33.740964,40.672125,8.474260
0.100000,-2.374648,-2.599322,1.361495,0.013917,-0.003036,0.021547,0.312258,0.100130,0.080303,6.865043,1.365831,2.043383,26.235113,31.399254,6.084725
0.110000,-2.374492,-2.599347,1.361714,0.017387,-0.001962,0.022453,0.382105,0.115221,0.101002,7.093301,1.639234,2.092762,19.547861,23.501127,3.810108
0.120000,-2.374298,-2.599361,1.361944,0.021566,-0.000724,0.023568,0.453914,0.132673,0.122084,7.258531,1.840065,2.119968,13.619758,16.866264,1.650360
0.130000,-2.374058,-2.599361,1.362187,0.026470,0.000697,0.024895,0.527090,0.151821,0.143332,7.368028,1.980398,2.126152,8.391350,11.383184,-0.394572
0.140000,-2.373766,-2.599346,1.362443,0.032111,0.002316,0.026435,0.601111,0.172116,0.164541,7.428492,2.071196,2.112459,3.803186,6.940406,-2.324739
0.150000,-2.373413,-2.599314,1.362716,0.038494,0.004142,0.028185,0.675517,0.193113,0.185518,7.446028,2.122303,2.080039,-0.204187,3.426451,-4.140193
0.160000,-2.372993,-2.599263,1.363007,0.045621,0.006180,0.030144,0.749907,0.214459,0.206083,7.426146,2.142449,2.030038,-3.690221,0.729838,-5.840985
0.170000,-2.372498,-2.599190,1.363320,0.053490,0.008432,0.032305,0.823932,0.235884,0.226064,7.373763,2.139252,1.963602,-6.714368,-1.260915,-7.427168
0.180000,-2.371921,-2.599093,1.363654,0.062097,0.010897,0.034663,0.897288,0.257188,0.245304,7.293200,2.119212,1.881876,-9.336081,-2.657286,-8.898793
0.190000,-2.371254,-2.598971,1.364013,0.071433,0.013574,0.037208,0.969714,0.278230,0.263655,7.188185,2.087716,1.786007,-11.614811,-3.570757,-10.255911
0.200000,-2.370490,-2.598821,1.364399,0.081488,0.016461,0.039932,1.040981,0.298918,0.280981,7.061849,2.049035,1.677140,-13.610010,-4.112809,-11.498575
0.210000,-2.369622,-2.598641,1.364813,0.092244,0.019544,0.042824,1.111036,0.319467,0.297159,6.930267,2.031152,1.556516,-15.722995,-5.021968,-12.629329
0.220000,-2.368643,-2.598430,1.365256,0.103698,0.022840,0.045871,1.179519,0.339515,0.312075,6.763339,1.977340,1.425047,-17.629494,-5.705887,-13.645427
0.230000,-2.367546,-2.598184,1.365730,0.115829,0.026333,0.049061,1.246242,0.358994,0.325628,6.578306,1.917670,1.283990,-19.347097,-6.199265,-14.546614
0.240000,-2.366324,-2.597902,1.366238,0.128617,0.030017,0.052379,1.311031,0.377855,0.337727,6.376968,1.853874,1.134498,-20.893397,-6.536802,-15.332636
0.250000,-2.364971,-2.597583,1.366778,0.142042,0.033888,0.055810,1.373732,0.396063,0.348294,6.160951,1.787338,0.977722,-22.285985,-6.753196,-16.003240
0.260000,-2.363481,-2.597224,1.367354,0.156083,0.037934,0.059340,1.434243,0.413680,0.357255,5.935059,1.726900,0.814287,-23.627217,-7.080205,-16.544738
0.270000,-2.361848,-2.596824,1.367966,0.170718,0.042156,0.062950,1.492391,0.430591,0.364563,5.692620,1.654784,0.646609,-24.839541,-7.331339,-16.971956
0.280000,-2.360065,-2.596380,1.368613,0.185923,0.046544,0.066625,1.548057,0.446769,0.370175,5.438673,1.580491,0.475224,-25.930167,-7.517170,-17.286283
0.290000,-2.358127,-2.595892,1.369298,0.201671,0.051089,0.070348,1.601130,0.462196,0.374059,5.174399,1.504623,0.301255,-26.906309,-7.648267,-17.489111
0.300000,-2.356030,-2.595358,1.370020,0.217936,0.055785,0.074101,1.651514,0.476858,0.376195,4.900905,1.427673,0.125809,-27.775178,-7.735200,-17.581830
0.310000,-2.353767,-2.594776,1.370780,0.234691,0.060623,0.077866,1.699131,0.490772,0.376566,4.620198,1.352393,-0.050806,-28.568480,-7.848200,-17.545965
0.320000,-2.351334,-2.594145,1.371578,0.251909,0.065597,0.081626,1.743893,0.503902,0.375182,4.330948,1.273474,-0.225648,-29.265935,-7.930869,-17.405207
0.330000,-2.348727,-2.593464,1.372413,0.269560,0.070698,0.085364,1.785729,0.516240,0.372059,4.035185,1.193866,-0.398573,-29.871753,-7.986472,-17.163379
0.340000,-2.345942,-2.592731,1.373285,0.287614,0.075919,0.089062,1.824578,0.527778,0.367220,3.733805,1.113823,-0.568591,-30.390148,-8.018273,-16.824305
0.350000,-2.342974,-2.591945,1.374194,0.306041,0.081251,0.092703,1.860389,0.538515,0.360700,3.427660,1.033569,-0.734748,-30.825332,-8.029535,-16.391809
0.360000,-2.339820,-2.591105,1.375139,0.324811,0.086686,0.096271,1.893123,0.548457,0.352534,3.118041,0.954001,-0.896835,-31.193643,-8.041469,-15.851882
0.370000,-2.336477,-2.590211,1.376119,0.343893,0.092217,0.099748,1.922739,0.557595,0.342783,2.804582,0.873594,-1.052303,-31.485683,-8.037195,-15.228363
0.380000,-2.332941,-2.589261,1.377133,0.363255,0.097836,0.103121,1.949206,0.565930,0.331510,2.488573,0.793307,-1.201143,-31.704181,-8.017781,-14.527262
0.390000,-2.329211,-2.588254,1.378181,0.382866,0.103533,0.106374,1.972504,0.573462,0.318785,2.170735,0.713286,-1.342610,-31.851865,-7.984295,-13.754585
0.400000,-2.325283,-2.587190,1.379260,0.402695,0.109302,0.109492,1.992617,0.580197,0.304684,1.851762,0.633665,-1.476016,-31.931463,-7.937802,-12.916339
0.410000,-2.321156,-2.586068,1.380370,0.422708,0.115135,0.112463,2.009541,0.586140,0.289289,1.532611,0.554788,-1.601155,-31.952967,-7.884900,-12.007990
0.420000,-2.316828,-2.584887,1.381509,0.442875,0.121022,0.115274,2.023270,0.591294,0.272693,1.213239,0.476252,-1.716473,-31.910950,-7.820449,-11.047378
0.430000,-2.312298,-2.583647,1.382675,0.463163,0.126958,0.117913,2.033808,0.595667,0.254992,0.894597,0.398417,-1.821953,-31.807253,-7.744838,-10.041803
0.440000,-2.307565,-2.582348,1.383867,0.483540,0.132933,0.120371,2.041166,0.599265,0.236288,0.577294,0.321391,-1.917183,-31.643713,-7.658457,-8.998564
0.450000,-2.302627,-2.580988,1.385082,0.503976,0.138941,0.122636,2.045360,0.602098,0.216684,0.261917,0.245282,-2.001823,-31.422168,-7.561694,-7.924959
0.460000,-2.297485,-2.579569,1.386319,0.524437,0.144973,0.124702,2.046414,0.604175,0.196287,-0.050869,0.170248,-2.075652,-31.146815,-7.456397,-6.827112
0.470000,-2.292139,-2.578089,1.387575,0.544894,0.151022,0.126560,2.044353,0.605507,0.175207,-0.360732,0.096252,-2.138366,-30.816845,-7.341320,-5.713640
0.480000,-2.286587,-2.576548,1.388849,0.565314,0.157080,0.128204,2.039211,0.606104,0.153557,-0.667029,0.023454,-2.189898,-30.433809,-7.216674,-4.591987
0.490000,-2.280832,-2.574947,1.390139,0.585668,0.163141,0.129629,2.031026,0.605980,0.131447,-0.969237,-0.048050,-2.230203,-29.999256,-7.082671,-3.469594
0.500000,-2.274874,-2.573285,1.391441,0.605924,0.169197,0.130832,2.019842,0.605148,0.108990,-1.266848,-0.118169,-2.259312,-29.514738,-6.939522,-2.353905
0.510000,-2.268714,-2.571563,1.392754,0.626055,0.175242,0.131808,2.005705,0.603621,0.086301,-1.559439,-0.186818,-2.277016,-28.980075,-6.787269,-1.260234
0.520000,-2.262354,-2.569781,1.394076,0.646029,0.181268,0.132557,1.988672,0.601417,0.063486,-1.846371,-0.253893,-2.284234,-28.398756,-6.626313,-0.187189
0.530000,-2.255794,-2.567938,1.395405,0.665819,0.187268,0.133078,1.968798,0.598549,0.040652,-2.127264,-0.319316,-2.280851,-27.772545,-6.456886,0.858754
0.540000,-2.249038,-2.566035,1.396737,0.685396,0.193236,0.133371,1.946148,0.595036,0.017903,-2.401678,-0.383003,-2.267171,-27.103202,-6.279221,1.871116
0.550000,-2.242087,-2.564073,1.398072,0.704732,0.199167,0.133437,1.920788,0.590895,-0.004659,-2.669190,-0.444874,-2.243562,-26.392489,-6.093549,2.843419
0.560000,-2.234944,-2.562052,1.399405,0.723803,0.205052,0.133278,1.892787,0.586145,-0.026930,-2.929528,-0.504877,-2.209863,-25.638836,-5.899386,3.754164
0.570000,-2.227612,-2.559972,1.400736,0.742580,0.210888,0.132899,1.862223,0.580804,-0.048826,-3.181991,-0.562868,-2.167979,-24.847743,-5.697769,4.613732
0.580000,-2.220094,-2.557835,1.402063,0.761039,0.216667,0.132303,1.829174,0.574894,-0.070262,-3.426365,-0.618808,-2.117774,-24.021382,-5.489016,5.417483
0.590000,-2.212393,-2.555639,1.403382,0.779155,0.222384,0.131496,1.793724,0.568435,-0.091156,-3.662308,-0.672626,-2.059830,-23.161921,-5.273446,6.160778
0.600000,-2.204512,-2.553387,1.404692,0.796906,0.228034,0.130482,1.755957,0.561449,-0.111435,-3.889500,-0.724255,-1.994776,-22.271530,-5.051380,6.838976
0.610000,-2.196456,-2.551079,1.405991,0.814267,0.233611,0.129269,1.715963,0.553957,-0.131022,-4.107724,-0.773653,-1.922516,-21.350342,-4.822626,7.428053
0.620000,-2.188228,-2.548715,1.407276,0.831218,0.239111,0.127864,1.673834,0.545983,-0.149867,-4.316510,-0.820711,-1.845589,-20.402813,-4.588078,7.945129
0.630000,-2.179833,-2.546297,1.408547,0.847737,0.244529,0.126274,1.629665,0.537551,-0.167917,-4.515700,-0.865397,-1.763861,-19.431362,-4.348117,8.387938
0.640000,-2.171275,-2.543825,1.409801,0.863805,0.249861,0.124508,1.583553,0.528684,-0.185130,-4.705066,-0.907657,-1.678085,-18.438408,-4.103124,8.754214
0.650000,-2.162558,-2.541300,1.411037,0.879402,0.255101,0.122575,1.535597,0.519406,-0.201468,-4.884405,-0.947444,-1.589039,-17.426369,-3.853482,9.041693
0.660000,-2.153688,-2.538723,1.412252,0.894511,0.260247,0.120482,1.485899,0.509743,-0.216894,-5.053488,-0.984705,-1.496700,-16.398931,-3.599751,9.227359
0.670000,-2.144670,-2.536095,1.413446,0.909114,0.265295,0.118239,1.434562,0.499720,-0.231397,-5.212279,-1.019418,-1.403835,-15.357091,-3.342113,9.332236
0.680000,-2.135508,-2.533418,1.414617,0.923197,0.270241,0.115857,1.381688,0.489364,-0.244968,-5.360589,-1.051536,-1.310324,-14.303115,-3.080929,9.356600
0.690000,-2.126208,-2.530691,1.415763,0.936743,0.275081,0.113343,1.327385,0.478698,-0.257604,-5.498308,-1.081026,-1.216970,-13.239268,-2.816557,9.300725
0.700000,-2.116775,-2.527916,1.416883,0.949740,0.279814,0.110708,1.271758,0.467752,-0.269311,-5.625349,-1.107857,-1.124576,-12.167813,-2.549359,9.164887
0.710000,-2.107215,-2.525095,1.417977,0.962174,0.284435,0.107960,1.214916,0.456551,-0.280093,-5.741451,-1.131967,-1.033168,-11.095953,-2.280646,8.929903
0.720000,-2.097533,-2.522228,1.419042,0.974035,0.288944,0.105109,1.156965,0.445122,-0.289983,-5.847035,-1.153420,-0.945366,-10.020410,-2.009710,8.617888
0.730000,-2.087736,-2.519317,1.420078,0.985310,0.293337,0.102163,1.098011,0.433491,-0.299012,-5.941853,-1.172155,-0.861058,-8.942843,-1.736795,8.231499
0.740000,-2.077829,-2.516362,1.421085,0.995992,0.297613,0.099131,1.038164,0.421688,-0.307219,-6.025891,-1.188151,-0.780975,-7.864911,-1.462145,7.773396
0.750000,-2.067818,-2.513365,1.422061,1.006071,0.301770,0.096021,0.977529,0.409738,-0.314648,-6.099155,-1.201392,-0.705820,-6.788273,-1.186002,7.246235
0.760000,-2.057710,-2.510327,1.423005,1.015540,0.305808,0.092840,0.916219,0.397670,-0.321347,-6.161375,-1.211807,-0.635628,-5.721951,-0.910108,6.636426
0.770000,-2.047509,-2.507249,1.423917,1.024393,0.309724,0.089596,0.854337,0.385511,-0.327382,-6.213278,-1.219524,-0.572572,-4.659341,-0.633026,5.964864
0.780000,-2.037224,-2.504133,1.424797,1.032625,0.313518,0.086295,0.791989,0.373288,-0.332822,-6.254577,-1.224464,-0.516521,-3.601202,-0.354815,5.236197
0.790000,-2.026859,-2.500979,1.425643,1.040232,0.317189,0.082942,0.729281,0.361031,-0.337738,-6.285319,-1.226617,-0.468023,-2.548290,-0.075537,4.455071
0.800000,-2.016421,-2.497789,1.426456,1.047210,0.320738,0.079542,0.666318,0.348765,-0.342209,-6.305562,-1.225971,-0.427579,-1.501364,0.204750,3.626135
0.810000,-2.005917,-2.494565,1.427234,1.053558,0.324165,0.076098,0.603208,0.336521,-0.346313,-6.315080,-1.222461,-0.395171,-0.468493,0.484535,2.742069
0.820000,-1.995352,-2.491306,1.427977,1.059274,0.327469,0.072616,0.540051,0.324325,-0.350143,-6.314628,-1.216212,-0.372327,0.557772,0.765385,1.820951
0.830000,-1.984734,-2.488016,1.428686,1.064359,0.330651,0.069096,0.476949,0.312206,-0.353790,-6.303946,-1.207149,-0.358855,1.577567,1.047418,0.868895
0.840000,-1.974067,-2.484694,1.429359,1.068813,0.333713,0.065541,0.414005,0.300192,-0.357352,-6.283098,-1.195260,-0.355032,2.591030,1.330750,-0.107987
0.850000,-1.963359,-2.481342,1.429997,1.072640,0.336656,0.061949,0.351321,0.288311,-0.360924,-6.252146,-1.180530,-0.361077,3.598297,1.615499,-1.103583
0.860000,-1.952616,-2.477961,1.430598,1.075841,0.339480,0.058322,0.288998,0.276591,-0.364604,-6.210981,-1.162920,-0.376861,4.595181,1.901166,-2.118979
0.870000,-1.941845,-2.474553,1.431163,1.078421,0.342188,0.054656,0.227134,0.265062,-0.368495,-6.160067,-1.142473,-0.403154,5.586675,2.188560,-3.139982
0.880000,-1.931050,-2.471118,1.431691,1.080386,0.344782,0.050951,0.165830,0.253751,-0.372701,-6.099263,-1.119142,-0.439656,6.573444,2.477875,-4.159598
0.890000,-1.920239,-2.467657,1.432182,1.081740,0.347264,0.047201,0.105182,0.242689,-0.377322,-6.028612,-1.092908,-0.486318,7.556156,2.769302,-5.170833
0.900000,-1.909417,-2.464173,1.432635,1.082492,0.349637,0.043402,0.045290,0.231903,-0.382461,-5.948151,-1.063749,-0.543021,8.535478,3.063035,-6.166694
0.910000,-1.898591,-2.460665,1.433050,1.082649,0.351903,0.039550,-0.013749,0.221423,-0.388215,-5.857958,-1.031675,-0.609497,9.513261,3.360162,-7.142212
0.920000,-1.887766,-2.457135,1.433426,1.082220,0.354066,0.035636,-0.071837,0.211279,-0.394683,-5.757946,-0.996577,-0.685676,10.488843,3.659870,-8.088119
0.930000,-1.876949,-2.453584,1.433762,1.081215,0.356130,0.031653,-0.128875,0.201502,-0.401959,-5.648187,-0.958469,-0.771137,11.462745,3.962244,-8.997173
0.940000,-1.866144,-2.450013,1.434058,1.079646,0.358098,0.027594,-0.184768,0.192120,-0.410135,-5.528695,-0.917323,-0.865473,12.435490,4.267366,-9.862132
0.950000,-1.855358,-2.446422,1.434314,1.077524,0.359974,0.023447,-0.239417,0.183165,-0.419297,-5.399479,-0.873112,-0.968208,13.407599,4.575321,-10.675754
0.960000,-1.844595,-2.442814,1.434527,1.074862,0.361762,0.019204,-0.292729,0.174667,-0.429527,-5.260864,-0.825922,-1.078950,14.387687,4.889097,-11.426830
0.970000,-1.833862,-2.439187,1.434697,1.071675,0.363469,0.014853,-0.344601,0.166657,-0.440900,-5.112089,-0.775451,-1.196704,15.367193,5.205516,-12.112571
0.980000,-1.823163,-2.435544,1.434824,1.067976,0.365097,0.010382,-0.394938,0.159168,-0.453483,-4.953523,-0.721803,-1.320961,16.345647,5.524306,-12.726220
0.990000,-1.812504,-2.431886,1.434905,1.063781,0.366654,0.005779,-0.443639,0.152232,-0.467338,-4.785181,-0.664958,-1.450966,17.322581,5.845194,-13.261022
1.000000,-1.801889,-2.428212,1.434939,1.059109,0.368144,0.001031,-0.490609,0.145880,-0.482518,-4.607078,-0.604894,-1.585896,18.297525,6.167908,-13.710220
1.010000,-1.791324,-2.424523,1.434925,1.053975,0.369574,-0.003876,-0.535755,0.140143,-0.499074,-4.419814,-0.541789,-1.725315,19.284536,6.497086,-14.055621
1.020000,-1.780811,-2.420820,1.434861,1.048400,0.370949,-0.008955,-0.578972,0.135055,-0.517035,-4.222052,-0.475169,-1.867193,20.266841,6.826944,-14.303306
1.030000,-1.770357,-2.417104,1.434745,1.042403,0.372277,-0.014221,-0.620163,0.130650,-0.536425,-4.014500,-0.405250,-2.011037,21.242193,7.156609,-14.447920
1.040000,-1.759965,-2.413375,1.434576,1.036004,0.373564,-0.019688,-0.659230,0.126961,-0.557258,-3.797239,-0.332040,-2.155790,22.208346,7.485205,-14.484106
1.050000,-1.749638,-2.409633,1.434351,1.029225,0.374819,-0.025371,-0.696076,0.124021,-0.579540,-3.570371,-0.255553,-2.300340,23.163051,7.811861,-14.406510
1.060000,-1.739381,-2.405879,1.434068,1.022090,0.376047,-0.031284,-0.730613,0.121858,-0.603270,-3.334740,-0.176057,-2.444343,24.122162,8.141878,-14.189081
1.070000,-1.729197,-2.402112,1.433724,1.014621,0.377259,-0.037441,-0.762739,0.120510,-0.628417,-3.088797,-0.093006,-2.584639,25.063116,8.467450,-13.849691
1.080000,-1.719090,-2.398333,1.433318,1.006844,0.378461,-0.043857,-0.792358,0.120009,-0.654949,-2.833553,-0.006728,-2.720920,25.981447,8.786947,-13.385519
1.090000,-1.709062,-2.394543,1.432846,0.998783,0.379662,-0.050544,-0.819380,0.120386,-0.682818,-2.569258,0.082707,-2.851924,26.872692,9.098738,-12.793744
1.100000,-1.699115,-2.390740,1.432306,0.990465,0.380871,-0.057517,-0.843714,0.121673,-0.711966,-2.296204,0.175216,-2.976361,27.732387,9.401194,-12.071545
1.110000,-1.689253,-2.386925,1.431695,0.981918,0.382098,-0.064787,-0.865283,0.123898,-0.742332,-2.015377,0.270466,-3.094138,28.572395,9.698475,-11.185112
1.120000,-1.679477,-2.383098,1.431009,0.973169,0.383353,-0.072367,-0.883995,0.127092,-0.773817,-1.725627,0.368882,-3.201005,29.369927,9.982451,-10.166405
1.130000,-1.669790,-2.379258,1.430246,0.964248,0.384644,-0.080267,-0.899770,0.131285,-0.806316,-1.428141,0.470062,-3.297028,30.118520,10.250784,-9.016397
1.140000,-1.660193,-2.375405,1.429403,0.955184,0.385982,-0.088497,-0.912533,0.136502,-0.839717,-1.123441,0.573838,-3.380899,30.811709,10.501134,-7.736059
1.150000,-1.650687,-2.371538,1.428475,0.946008,0.387377,-0.097064,-0.922216,0.142770,-0.873889,-0.812113,0.680017,-3.451318,31.443033,10.731163,-6.326366
1.160000,-1.641273,-2.367657,1.427460,0.936750,0.388841,-0.105976,-0.928759,0.150109,-0.908711,-0.495100,0.788268,-3.508581,32.013405,10.941504,-4.748321
1.170000,-1.631952,-2.363761,1.426355,0.927443,0.390383,-0.115239,-0.932101,0.158542,-0.944006,-0.172427,0.898630,-3.547661,32.508081,11.126482,-3.047759
