time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.727564,-1.904019,-1.503396,-0.014124,-0.004178,0.007782,0.100476,0.082352,-0.001020,0.471927,1.285051,0.041692,-6.184865,16.188473,1.183445,0.008393,-0.010241,0.000000,0.130996,-0.048138,-0.000000
0.050000,-1.728270,-1.904228,-1.503007,-0.009100,-0.000061,0.007731,0.124073,0.146605,0.001064,0.162683,2.094475,0.100864,-8.350862,22.552716,1.661641,0.014944,-0.012648,0.000000,0.213613,-0.016711,0.000000
0.100000,-1.728474,-1.904025,-1.502623,-0.001716,0.010482,0.007889,0.116745,0.291800,0.009066,-0.363160,3.540323,0.207856,-2.596133,26.749056,1.665320,0.029762,-0.011911,0.000000,0.361521,0.036779,0.000000
0.150000,-1.728442,-1.903180,-1.502218,0.002575,0.029119,0.008638,0.087757,0.500637,0.021850,-0.096930,4.769380,0.267396,9.767997,18.820695,0.727368,0.051101,-0.008965,0.000000,0.487368,0.009644,0.000000
0.200000,-1.728216,-1.901113,-1.501759,0.007059,0.060546,0.010074,0.107052,0.768738,0.035806,0.613640,5.422392,0.280593,10.503790,4.867760,0.116208,0.078483,-0.010952,0.000000,0.553513,-0.062894,0.000000
0.250000,-1.727736,-1.897125,-1.501210,0.013280,0.105993,0.012218,0.149121,1.042876,0.049909,0.953449,5.256156,0.279017,5.156045,-7.731840,-0.117693,0.106435,-0.015277,0.000000,0.535257,-0.097547,-0.000000
0.300000,-1.726888,-1.890514,-1.500537,0.021971,0.164834,0.015065,0.202396,1.294353,0.063707,1.129245,4.649208,0.268823,2.860076,-14.422022,-0.318193,0.132004,-0.020764,0.000000,0.471942,-0.115374,0.000000
0.350000,-1.725538,-1.880642,-1.499704,0.033519,0.235429,0.018589,0.262045,1.507797,0.076791,1.239457,3.813954,0.247198,1.988817,-17.686083,-0.623473,0.153636,-0.026916,0.000000,0.385854,-0.126427,0.000000
0.400000,-1.723536,-1.866971,-1.498678,0.048176,0.315613,0.022744,0.326342,1.675749,0.088427,1.328126,2.880600,0.206476,1.725448,-18.790698,-1.080222,0.170603,-0.033556,0.000000,0.290390,-0.135183,-0.000000
0.450000,-1.720721,-1.849080,-1.497429,0.066154,0.403003,0.027432,0.394858,1.795857,0.097439,1.412001,1.934884,0.139175,1.659173,-18.456182,-1.642354,0.182688,-0.040632,0.000000,0.193982,-0.143296,-0.000000
0.500000,-1.716921,-1.826670,-1.495935,0.087662,0.495199,0.032488,0.467542,1.869237,0.102345,1.494044,1.034982,0.042241,1.581840,-17.156100,-2.197335,0.190010,-0.048125,0.000000,0.102126,-0.150989,0.000000
0.550000,-1.711955,-1.799560,-1.494181,0.112908,0.589927,0.037666,0.544262,1.899355,0.101663,1.570185,0.219274,-0.080558,1.387760,-15.246515,-2.606624,0.192906,-0.056003,0.000000,0.018465,-0.157783,0.000000
0.600000,-1.705630,-1.767678,-1.492168,0.142088,0.685135,0.042654,0.624561,1.891165,0.094289,1.632820,-0.489670,-0.218422,1.025560,-13.017584,-2.746813,0.191860,-0.064195,0.000000,-0.054672,-0.162884,0.000000
0.650000,-1.697746,-1.731047,-1.489915,0.175364,0.779044,0.047095,0.707544,1.850388,0.079821,1.672741,-1.082484,-0.355239,0.475446,-10.710051,-2.541490,0.187443,-0.072589,0.000000,-0.116030,-0.165418,0.000000
0.700000,-1.688094,-1.689773,-1.487459,0.212842,0.870174,0.050636,0.791835,1.782916,0.058765,1.680364,-1.560675,-0.472571,-0.261716,-8.516686,-1.978435,0.180262,-0.081026,0.000000,-0.165340,-0.164574,0.000000
0.750000,-1.676462,-1.644029,-1.484852,0.254547,0.957335,0.052972,0.875580,1.694321,0.032564,1.646570,-1.934153,-0.553083,-1.170131,-6.578936,-1.111270,0.170914,-0.089313,0.000000,-0.203243,-0.159679,0.000000
0.800000,-1.662639,-1.594040,-1.482161,0.300400,1.039606,0.053892,0.956492,1.589501,0.003456,1.563351,-2.218568,-0.583698,-2.222553,-4.984519,-0.048043,0.159942,-0.097229,0.000000,-0.231146,-0.150224,0.000000
0.850000,-1.646422,-1.540069,-1.479462,0.350197,1.116285,0.053317,1.031916,1.472464,-0.025806,1.424315,-2.432604,-0.557887,-3.382492,-3.768936,1.068772,0.147802,-0.104532,0.000000,-0.250998,-0.135849,0.000000
0.900000,-1.627619,-1.482411,-1.476830,0.403592,1.186852,0.051312,1.098923,1.346241,-0.052332,1.225102,-2.595462,-0.476820,-4.605354,-2.921782,2.085857,0.134840,-0.110969,0.000000,-0.265006,-0.116310,0.000000
0.950000,-1.606062,-1.421384,-1.474331,0.460089,1.250909,0.048084,1.154426,1.212918,-0.073488,0.963779,-2.724783,-0.349301,-5.838550,-2.396972,2.861888,0.121295,-0.116277,0.000000,-0.275357,-0.091452,0.000000
1.000000,-1.581610,-1.357320,-1.472021,0.519034,1.308144,0.043963,1.195301,1.073762,-0.087262,0.641247,-2.835159,-0.190632,-7.020953,-2.125040,3.286570,0.107295,-0.120189,0.000000,-0.283973,-0.061212,0.000000
1.050000,-1.554159,-1.290569,-1.469935,0.579619,1.358286,0.039358,1.218550,0.929402,-0.092551,0.261684,-2.937287,-0.020644,-8.082494,-2.025368,3.294282,0.092884,-0.122439,0.000000,-0.292351,-0.025668,0.000000
1.100000,-1.523649,-1.221492,-1.468086,0.640889,1.401084,0.034708,1.221470,0.780034,-0.089327,-0.167003,-3.037696,0.138796,-8.945024,-2.016511,2.871811,0.078045,-0.122769,0.000000,-0.301465,0.014868,0.000000
1.150000,-1.490070,-1.150461,-1.466464,0.701766,1.436289,0.030425,1.201850,0.625632,-0.078672,-0.632818,-3.138938,0.266537,-9.528419,-2.024599,2.060335,0.062723,-0.120945,0.000000,-0.311730,0.059717,0.000000
1.200000,-1.453472,-1.077863,-1.465043,0.761074,1.463647,0.026841,1.158188,0.466140,-0.062673,-1.119844,-3.240156,0.344830,-9.757965,-1.987664,0.951870,0.046859,-0.116779,0.000000,-0.323018,0.107729,0.000000
1.250000,-1.413963,-1.004096,-1.463780,0.817585,1.482903,0.024158,1.089866,0.301617,-0.044189,-1.608615,-3.337704,0.361724,-9.560046,-1.853278,-0.319767,0.030413,-0.110152,0.000000,-0.334701,0.157186,0.000000
1.300000,-1.371713,-0.929573,-1.462627,0.870061,1.493809,0.022422,0.997326,0.132370,-0.026501,-2.075849,-3.425484,0.312853,-8.872392,-1.582196,-1.593589,0.013388,-0.101045,0.000000,-0.345699,0.205678,0.000000
1.350000,-1.326957,-0.854715,-1.461538,0.917318,1.496140,0.021508,0.882281,-0.040932,-0.012903,-2.495854,-3.495924,0.202365,-7.689418,-1.161181,-2.700848,-0.004150,-0.089578,0.000000,-0.354641,0.250214,0.000000
1.400000,-1.279982,-0.779958,-1.460476,0.958289,1.489716,0.021132,0.747741,-0.217223,-0.006264,-2.844791,-3.541602,0.042768,-6.074996,-0.599154,-3.487081,-0.022061,-0.076027,0.000000,-0.360151,0.287732,0.000000
1.450000,-1.231128,-0.705744,-1.459425,0.992092,1.474418,0.020881,0.597802,-0.395092,-0.008626,-3.103354,-3.555839,-0.146343,-4.122279,0.089608,-3.833660,-0.040143,-0.060809,0.000000,-0.361074,0.315550,0.000000
1.500000,-1.180773,-0.632517,-1.458388,1.018069,1.450207,0.020269,0.437406,-0.572807,-0.020899,-3.257019,-3.532641,-0.340598,-1.937434,0.886898,-3.675045,-0.058143,-0.044464,0.000000,-0.356621,0.331627,0.000000
1.550000,-1.129321,-0.560723,-1.457398,1.035832,1.417137,0.018792,0.272100,-0.748356,-0.042686,-3.297097,-3.467149,-0.513848,0.351915,1.766500,-3.008574,-0.075780,-0.027610,0.000000,-0.346512,0.334860,0.000000
1.600000,-1.077189,-0.490803,-1.456509,1.045279,1.375371,0.016000,0.107696,-0.919522,-0.072283,-3.221827,-3.355991,-0.641455,2.612678,2.699825,-1.895893,-0.092775,-0.010897,0.000000,-0.331003,0.325284,0.000000
1.650000,-1.024793,-0.423186,-1.455798,1.046602,1.325185,0.011563,-0.050083,-1.083955,-0.106832,-3.035830,-3.197167,-0.703437,4.731931,3.660657,-0.456364,-0.108871,0.005050,0.000000,-0.310759,0.303953,0.000000
1.700000,-0.972529,-0.358285,-1.455353,1.040271,1.266976,0.005317,-0.195887,-1.239238,-0.142627,-2.748634,-2.989925,-0.687091,6.627957,4.623541,1.146830,-0.123852,0.019679,0.000000,-0.286648,0.272602,-0.000000
1.750000,-0.920766,-0.296488,-1.455266,1.027013,1.201261,-0.002700,-0.324946,-1.382947,-0.175541,-2.373034,-2.734813,-0.588754,8.250500,5.560577,2.726308,-0.137548,0.032530,0.000000,-0.259537,0.233255,-0.000000
1.800000,-0.869828,-0.238158,-1.455623,1.007776,1.128681,-0.012237,-0.433191,-1.512720,-0.201502,-1.923584,-2.433868,-0.414461,9.574745,6.439090,4.093271,-0.149826,0.043242,0.000000,-0.230145,0.187862,0.000000
1.850000,-0.819988,-0.183620,-1.456490,0.983694,1.049989,-0.022850,-0.517305,-1.626334,-0.216987,-1.415559,-2.090904,-0.179427,10.590578,7.220848,5.080573,-0.160586,0.051546,0.000000,-0.198963,0.138080,-0.000000
1.900000,-0.771458,-0.133159,-1.457908,0.956046,0.966047,-0.033936,-0.574746,-1.721810,-0.219445,-0.864527,-1.711783,0.093597,11.290301,7.863335,5.563305,-0.169745,0.057243,0.000000,-0.166262,0.085207,0.000000
1.950000,-0.724383,-0.087016,-1.459883,0.926219,0.877808,-0.044794,-0.603757,-1.797512,-0.207627,-0.286529,-1.304570,0.376904,11.654122,8.325469,5.474612,-0.177231,0.060197,0.000000,-0.132159,0.030277,0.000000
2.000000,-0.678836,-0.045379,-1.462387,0.895670,0.786296,-0.054698,-0.603399,-1.852267,-0.181755,0.300886,-0.879236,0.641058,11.646308,8.574698,4.814981,-0.182973,0.060316,0.000000,-0.096690,-0.025707,0.000000
2.050000,-0.634816,-0.008386,-1.465353,0.865879,0.692582,-0.062970,-0.573669,-1.885436,-0.143521,0.878102,-0.447100,0.858402,11.238002,8.587128,3.653690,-0.186903,0.057571,0.000000,-0.059915,-0.081529,0.000000
