time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.001903,-1.556879,-1.494345,0.004630,-0.011633,0.006978,0.025115,0.072752,0.004778,0.151310,1.251281,0.137157,0.561213,16.913942,2.044874,0.007420,-0.002561,0.000000,0.127710,-0.015467,0.000000
0.050000,-2.001671,-1.557460,-1.493996,0.005886,-0.007995,0.007216,0.032680,0.135316,0.011636,0.179370,2.096979,0.239400,1.929691,23.452631,2.528555,0.013809,-0.003335,0.000000,0.214308,-0.018386,0.000000
0.100000,-2.001314,-1.557678,-1.493623,0.007898,0.001899,0.008141,0.043052,0.282449,0.028718,0.344279,3.596545,0.390012,5.666699,26.988111,2.110573,0.028868,-0.004401,0.000000,0.368533,-0.035358,-0.000000
0.150000,-2.000881,-1.557271,-1.493182,0.010191,0.020250,0.010088,0.067108,0.494970,0.050637,0.746040,4.795790,0.450458,7.811388,17.937134,0.577298,0.050673,-0.006876,0.000000,0.492440,-0.076659,0.000000
0.200000,-2.000295,-1.555653,-1.492614,0.014609,0.051396,0.013205,0.117656,0.762028,0.073764,1.125418,5.390258,0.447742,5.429009,4.231099,-0.469568,0.078102,-0.012084,0.000000,0.553686,-0.115775,-0.000000
0.250000,-1.999421,-1.552131,-1.491861,0.021956,0.096452,0.017465,0.179650,1.033996,0.095411,1.288941,5.218900,0.403501,2.364848,-7.577511,-1.118260,0.106020,-0.018491,0.000000,0.535227,-0.132654,-0.000000
0.300000,-1.998099,-1.546008,-1.490868,0.032574,0.154795,0.022746,0.246550,1.283918,0.114114,1.361902,4.632507,0.335916,1.135777,-13.892766,-1.512291,0.131611,-0.025423,0.000000,0.473441,-0.140030,0.000000
0.350000,-1.996163,-1.536651,-1.489587,0.046611,0.224844,0.028876,0.315840,1.497247,0.129003,1.402519,3.829623,0.252272,0.736763,-16.991520,-1.828765,0.153362,-0.032613,0.000000,0.389362,-0.143860,0.000000
0.400000,-1.993438,-1.523524,-1.487980,0.064158,0.304520,0.035646,0.386802,1.666881,0.139341,1.435579,2.933355,0.153039,0.664812,-18.041386,-2.154769,0.170554,-0.039976,0.000000,0.296003,-0.146682,-0.000000
0.450000,-1.989747,-1.506199,-1.486022,0.085292,0.391532,0.042810,0.459398,1.790582,0.144307,1.469000,2.025484,0.036795,0.663890,-17.718135,-2.486633,0.182973,-0.047493,0.000000,0.201778,-0.149285,0.000000
0.500000,-1.984909,-1.484370,-1.483699,0.110098,0.483578,0.050077,0.533702,1.869429,0.143020,1.501968,1.161541,-0.095624,0.600313,-16.477550,-2.755186,0.190742,-0.055153,0.000000,0.112233,-0.151555,0.000000
0.550000,-1.978738,-1.457842,-1.481014,0.138662,0.578475,0.057112,0.609595,1.906736,0.134744,1.529031,0.377729,-0.238724,0.403604,-14.669233,-2.864016,0.194205,-0.062922,0.000000,0.030981,-0.152932,-0.000000
0.600000,-1.971043,-1.426523,-1.477988,0.171057,0.674252,0.063551,0.686605,1.907202,0.119148,1.542328,-0.305382,-0.382025,0.039238,-12.579494,-2.727922,0.193847,-0.070733,0.000000,-0.039802,-0.152665,0.000000
0.650000,-1.961632,-1.390416,-1.474659,0.207322,0.769195,0.069027,0.763828,1.876198,0.096542,1.532955,-0.880220,-0.511516,-0.503795,-10.443388,-2.302101,0.190232,-0.078475,0.000000,-0.099118,-0.149977,-0.000000
0.700000,-1.950311,-1.349603,-1.471085,0.247440,0.861872,0.073205,0.839901,1.819180,0.067997,1.491949,-1.349721,-0.612236,-1.219023,-8.444696,-1.597166,0.183943,-0.086002,0.000000,-0.146991,-0.144164,-0.000000
0.750000,-1.936888,-1.304229,-1.467339,0.291312,0.951113,0.075827,0.913022,1.741226,0.035318,1.411053,-1.724690,-0.671233,-2.085985,-6.713143,-0.679403,0.175539,-0.093137,0.000000,-0.184327,-0.134649,-0.000000
0.800000,-1.921179,-1.254492,-1.463503,0.338742,1.035994,0.076737,0.981006,1.646711,0.000873,1.283350,-2.021035,-0.680176,-3.072684,-5.323633,0.341132,0.165514,-0.099678,0.000000,-0.212710,-0.120994,-0.000000
0.850000,-1.903014,-1.200630,-1.459665,0.389413,1.115785,0.075914,1.041357,1.539122,-0.032699,1.103784,-2.257053,-0.637119,-4.137363,-4.299613,1.330258,0.154269,-0.105408,0.000000,-0.234156,-0.102892,0.000000
0.900000,-1.882238,-1.142914,-1.455911,0.442878,1.189906,0.073467,1.091384,1.421006,-0.062839,0.869614,-2.450996,-0.547150,-5.229638,-3.620822,2.152277,0.142095,-0.110097,0.000000,-0.250829,-0.080150,0.000000
0.950000,-1.858726,-1.081639,-1.452318,0.498551,1.257885,0.069630,1.128319,1.294023,-0.087414,0.580821,-2.619135,-0.421892,-6.291085,-3.234269,2.691409,0.129179,-0.113511,0.000000,-0.264781,-0.052691,0.000000
1.000000,-1.832383,-1.017125,-1.448948,0.555710,1.319309,0.064726,1.149466,1.159092,-0.105028,0.240505,-2.774423,-0.278009,-7.255779,-3.066446,2.869075,0.115607,-0.115416,0.000000,-0.277748,-0.020589,0.000000
1.050000,-1.803155,-0.949708,-1.445845,0.613498,1.373794,0.059127,1.152369,1.016580,-0.115215,-0.144757,-2.925780,-0.134984,-8.051605,-3.034914,2.655396,0.101392,-0.115588,0.000000,-0.290999,0.015867,-0.000000
1.100000,-1.771033,-0.879746,-1.443035,0.670947,1.420967,0.053204,1.134991,0.866514,-0.118526,-0.564655,-3.077915,-0.012470,-8.603296,-3.057906,2.074225,0.086494,-0.113822,0.000000,-0.305257,0.056070,0.000000
1.150000,-1.736060,-0.807612,-1.440525,0.726997,1.460446,0.047275,1.095904,0.708789,-0.116462,-1.005087,-3.231570,0.072438,-8.837930,-3.061296,1.201588,0.070854,-0.109957,0.000000,-0.320674,0.098989,-0.000000
1.200000,-1.698334,-0.733701,-1.438308,0.780537,1.491846,0.041558,1.034482,0.543357,-0.111282,-1.448448,-3.384044,0.107689,-8.693123,-2.983231,0.157621,0.054418,-0.103894,0.000000,-0.336846,0.143092,0.000000
1.250000,-1.658007,-0.658427,-1.436369,0.830445,1.514782,0.036146,0.951059,0.370385,-0.105693,-1.874399,-3.529893,0.088200,-8.127637,-2.777297,-0.907664,0.037166,-0.095622,0.000000,-0.352881,0.186336,0.000000
1.300000,-1.615289,-0.582223,-1.434693,0.875643,1.528884,0.030989,0.847042,0.190368,-0.102462,-2.261212,-3.661774,0.016923,-7.133380,-2.414706,-1.833963,0.019133,-0.085245,0.000000,-0.367532,0.226278,-0.000000
1.350000,-1.570442,-0.505539,-1.433270,0.915149,1.533818,0.025900,0.724938,0.004207,-0.104001,-2.587737,-3.771364,-0.095196,-5.741806,-1.885344,-2.473487,0.000423,-0.072993,0.000000,-0.379391,0.260329,0.000000
1.400000,-1.523774,-0.428841,-1.432103,0.948137,1.529305,0.020589,0.588268,-0.186769,-0.111982,-2.835393,-3.850308,-0.230426,-4.018848,-1.196997,-2.713195,-0.018789,-0.059220,0.000000,-0.387124,0.286089,0.000000
1.450000,-1.475629,-0.352608,-1.431211,0.973976,1.515141,0.014702,0.441399,-0.380824,-0.127044,-2.989622,-3.891064,-0.366515,-2.060419,-0.371024,-2.491923,-0.038267,-0.044390,0.000000,-0.389716,0.301678,-0.000000
1.500000,-1.426376,-0.277327,-1.430633,0.992277,1.491222,0.007884,0.289306,-0.575875,-0.148633,-3.041435,-3.887411,-0.479618,0.012271,0.565469,-1.809506,-0.057738,-0.029043,0.000000,-0.386630,0.306036,-0.000000
