time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-1.556879,-2.001903,1.494345,-0.011633,0.004630,-0.006978,0.072752,0.025115,-0.004778,1.251281,0.151310,-0.137157,16.913942,0.561213,-2.044874
0.050000,-1.557460,-2.001671,1.493996,-0.007995,0.005886,-0.007216,0.135316,0.032680,-0.011636,2.096979,0.179370,-0.239400,23.452631,1.929691,-2.528555
0.100000,-1.557678,-2.001314,1.493623,0.001899,0.007898,-0.008141,0.282449,0.043052,-0.028718,3.596545,0.344279,-0.390012,26.988111,5.666699,-2.110573
0.150000,-1.557271,-2.000881,1.493182,0.020250,0.010191,-0.010088,0.494970,0.067108,-0.050637,4.795790,0.746040,-0.450458,17.937134,7.811388,-0.577298
0.200000,-1.555653,-2.000295,1.492614,0.051396,0.014609,-0.013205,0.762028,0.117656,-0.073764,5.390258,1.125418,-0.447742,4.231099,5.429009,0.469568
0.250000,-1.552131,-1.999421,1.491861,0.096452,0.021956,-0.017465,1.033996,0.179650,-0.095411,5.218900,1.288941,-0.403501,-7.577511,2.364848,1.118260
0.300000,-1.546008,-1.998099,1.490868,0.154795,0.032574,-0.022746,1.283918,0.246550,-0.114114,4.632507,1.361902,-0.335916,-13.892766,1.135777,1.512291
0.350000,-1.536651,-1.996163,1.489587,0.224844,0.046611,-0.028876,1.497247,0.315840,-0.129003,3.829623,1.402519,-0.252272,-16.991520,0.736763,1.828765
0.400000,-1.523524,-1.993438,1.487980,0.304520,0.064158,-0.035646,1.666881,0.386802,-0.139341,2.933355,1.435579,-0.153039,-18.041386,0.664812,2.154769
0.450000,-1.506199,-1.989747,1.486022,0.391532,0.085292,-0.042810,1.790582,0.459398,-0.144307,2.025484,1.469000,-0.036795,-17.718135,0.663890,2.486633
0.500000,-1.484370,-1.984909,1.483699,0.483578,0.110098,-0.050077,1.869429,0.533702,-0.143020,1.161541,1.501968,0.095624,-16.477550,0.600313,2.755186
0.550000,-1.457842,-1.978738,1.481014,0.578475,0.138662,-0.057112,1.906736,0.609595,-0.134744,0.377729,1.529031,0.238724,-14.669233,0.403604,2.864016
0.600000,-1.426523,-1.971043,1.477988,0.674252,0.171057,-0.063551,1.907202,0.686605,-0.119148,-0.305382,1.542328,0.382025,-12.579494,0.039238,2.727922
0.650000,-1.390416,-1.961632,1.474659,0.769195,0.207322,-0.069027,1.876198,0.763828,-0.096542,-0.880220,1.532955,0.511516,-10.443388,-0.503795,2.302101
0.700000,-1.349603,-1.950311,1.471085,0.861872,0.247440,-0.073205,1.819180,0.839901,-0.067997,-1.349721,1.491949,0.612236,-8.444696,-1.219023,1.597166
0.750000,-1.304229,-1.936888,1.467339,0.951113,0.291312,-0.075827,1.741226,0.913022,-0.035318,-1.724690,1.411053,0.671233,-6.713143,-2.085985,0.679403
0.800000,-1.254492,-1.921179,1.463503,1.035994,0.338742,-0.076737,1.646711,0.981006,-0.000873,-2.021035,1.283350,0.680176,-5.323633,-3.072684,-0.341132
0.850000,-1.200630,-1.903014,1.459665,1.115785,0.389413,-0.075914,1.539122,1.041357,0.032699,-2.257053,1.103784,0.637119,-4.299613,-4.137363,-1.330258
0.900000,-1.142914,-1.882238,1.455911,1.189906,0.442878,-0.073467,1.421006,1.091384,0.062839,-2.450996,0.869614,0.547150,-3.620822,-5.229638,-2.152277
0.950000,-1.081639,-1.858726,1.452318,1.257885,0.498551,-0.069630,1.294023,1.128319,0.087414,-2.619135,0.580821,0.421892,-3.234269,-6.291085,-2.691409
1.000000,-1.017125,-1.832383,1.448948,1.319309,0.555710,-0.064726,1.159092,1.149466,0.105028,-2.774423,0.240505,0.278009,-3.066446,-7.255779,-2.869075
1.050000,-0.949708,-1.803155,1.445845,1.373794,0.613498,-0.059127,1.016580,1.152369,0.115215,-2.925780,-0.144757,0.134984,-3.034914,-8.051605,-2.655396
1.100000,-0.879746,-1.771033,1.443035,1.420967,0.670947,-0.053204,0.866514,1.134991,0.118526,-3.077915,-0.564655,0.012470,-3.057906,-8.603296,-2.074225
1.150000,-0.807612,-1.736060,1.440525,1.460446,0.726997,-0.047275,0.708789,1.095904,0.116462,-3.231570,-1.005087,-0.072438,-3.061296,-8.837930,-1.201588
1.200000,-0.733701,-1.698334,1.438308,1.491846,0.780537,-0.041558,0.543357,1.034482,0.111282,-3.384044,-1.448448,-0.107689,-2.983231,-8.693123,-0.157621
1.250000,-0.658427,-1.658007,1.436369,1.514782,0.830445,-0.036146,0.370385,0.951059,0.105693,-3.529893,-1.874399,-0.088200,-2.777297,-8.127637,0.907664
1.300000,-0.582223,-1.615289,1.434693,1.528884,0.875643,-0.030989,0.190368,0.847042,0.102462,-3.661774,-2.261212,-0.016923,-2.414706,-7.133380,1.833963
1.350000,-0.505539,-1.570442,1.433270,1.533818,0.915149,-0.025900,0.004207,0.724938,0.104001,-3.771364,-2.587737,0.095196,-1.885344,-5.741806,2.473487
1.400000,-0.428841,-1.523774,1.432103,1.529305,0.948137,-0.020589,-0.186769,0.588268,0.111982,-3.850308,-2.835393,0.230426,-1.196997,-4.018848,2.713195
