time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-1.556879,-2.001903,1.494345,-0.016436,0.001930,-0.006908,0.271893,0.158274,-0.001984,-6.910988,-3.823576,0.048209,189.675191,72.059950,-8.672172
0.010000,-1.557031,-2.001876,1.494275,-0.014032,0.003333,-0.006926,0.211926,0.123509,-0.001920,-5.116102,-3.142180,-0.033840,169.553083,64.322501,-7.747973
0.020000,-1.557161,-2.001837,1.494206,-0.012141,0.004422,-0.006949,0.168925,0.095182,-0.002632,-3.515002,-2.535105,-0.106951,150.908153,57.191353,-6.884110
0.030000,-1.557275,-2.001789,1.494136,-0.010603,0.005256,-0.006981,0.141028,0.072579,-0.004032,-2.093218,-1.996417,-0.171717,133.679619,50.640910,-6.078437
0.040000,-1.557374,-2.001733,1.494066,-0.009276,0.005890,-0.007031,0.126510,0.055045,-0.006040,-0.836891,-1.520437,-0.228707,117.806700,44.645576,-5.328806
0.050000,-1.557460,-2.001671,1.493996,-0.008034,0.006372,-0.007104,0.123783,0.041980,-0.008582,0.267232,-1.101741,-0.278472,103.228616,39.179755,-4.633071
0.060000,-1.557535,-2.001606,1.493924,-0.006766,0.006743,-0.007204,0.131389,0.032837,-0.011587,1.231795,-0.735162,-0.321541,89.884583,34.217850,-3.989085
0.070000,-1.557595,-2.001537,1.493852,-0.005376,0.007040,-0.007337,0.147994,0.027119,-0.014992,2.068835,-0.415789,-0.358419,77.713822,29.734267,-3.394701
0.080000,-1.557641,-2.001465,1.493777,-0.003780,0.007295,-0.007505,0.172379,0.024379,-0.018736,2.789780,-0.138967,-0.389593,66.655551,25.703410,-2.847772
0.090000,-1.557670,-2.001391,1.493701,-0.001906,0.007536,-0.007713,0.203438,0.024213,-0.022766,3.405451,0.099703,-0.415526,56.648987,22.099681,-2.346151
0.100000,-1.557678,-2.001314,1.493623,0.000308,0.007787,-0.007961,0.240171,0.026260,-0.027031,3.926063,0.304365,-0.436660,47.633351,18.897486,-1.887691
0.110000,-1.557663,-2.001235,1.493542,0.002913,0.008068,-0.008254,0.281675,0.030200,-0.031485,4.361219,0.478906,-0.453416,39.547860,16.071228,-1.470247
0.120000,-1.557619,-2.001153,1.493458,0.005954,0.008396,-0.008592,0.327141,0.035750,-0.036086,4.719918,0.626957,-0.466194,32.331733,13.595312,-1.091669
0.130000,-1.557542,-2.001067,1.493370,0.009467,0.008787,-0.008976,0.375846,0.042662,-0.040797,5.010549,0.751894,-0.475372,25.924190,11.444142,-0.749813
0.140000,-1.557428,-2.000977,1.493278,0.013480,0.009253,-0.009408,0.427151,0.050721,-0.045583,5.240894,0.856837,-0.481306,20.264447,9.592121,-0.442531
0.150000,-1.557271,-2.000881,1.493182,0.018016,0.009805,-0.009888,0.480487,0.059741,-0.050413,5.418128,0.944649,-0.484331,15.291725,8.013654,-0.167676
0.160000,-1.557065,-2.000780,1.493080,0.023095,0.010451,-0.010416,0.535358,0.069565,-0.055261,5.548816,1.017937,-0.484760,10.945241,6.683145,0.076899
0.170000,-1.556807,-2.000672,1.492973,0.028727,0.011198,-0.010993,0.591329,0.080060,-0.060101,5.638917,1.079053,-0.482887,7.164215,5.574998,0.293340
0.180000,-1.556489,-2.000556,1.492860,0.034924,0.012054,-0.011618,0.648019,0.091113,-0.064912,5.693783,1.130092,-0.478980,3.887865,4.663618,0.483794
0.190000,-1.556106,-2.000431,1.492741,0.041689,0.013022,-0.012291,0.705103,0.102634,-0.069674,5.718154,1.172896,-0.473290,1.055409,3.923407,0.650409
0.200000,-1.555653,-2.000295,1.492614,0.049026,0.014108,-0.013011,0.762295,0.114549,-0.074372,5.716168,1.209046,-0.466044,-1.393934,3.328771,0.795330
0.210000,-1.555124,-2.000148,1.492480,0.056931,0.015313,-0.013778,0.819463,0.126842,-0.078991,5.701814,1.244034,-0.457449,-3.785241,2.748953,0.920699
0.220000,-1.554513,-1.999988,1.492338,0.065410,0.016644,-0.014591,0.876256,0.139412,-0.083517,5.653242,1.269077,-0.447688,-5.882636,2.276395,1.028670
0.230000,-1.553814,-1.999815,1.492188,0.074455,0.018102,-0.015448,0.932463,0.152210,-0.087941,5.585046,1.289877,-0.436926,-7.714535,1.898376,1.121390
0.240000,-1.553022,-1.999626,1.492029,0.084057,0.019689,-0.016349,0.987900,0.165198,-0.092253,5.499741,1.307317,-0.425304,-9.309358,1.602178,1.201006
0.250000,-1.552131,-1.999421,1.491861,0.094209,0.021407,-0.017293,1.042408,0.178347,-0.096445,5.399555,1.322151,-0.412942,-10.695523,1.375082,1.269667
0.260000,-1.551136,-1.999197,1.491683,0.104900,0.023256,-0.018278,1.095899,0.191657,-0.100512,5.291150,1.337079,-0.400131,-12.020638,1.152037,1.334336
0.270000,-1.550031,-1.998955,1.491495,0.116122,0.025239,-0.019303,1.148190,0.205082,-0.104445,5.165018,1.347695,-0.386495,-13.179337,0.979063,1.391755
0.280000,-1.548812,-1.998692,1.491297,0.127860,0.027358,-0.020366,1.199164,0.218606,-0.108240,5.028072,1.356806,-0.372315,-14.185445,0.849848,1.443482
0.290000,-1.547472,-1.998407,1.491088,0.140100,0.029612,-0.021467,1.248720,0.232215,-0.111890,4.881771,1.364817,-0.357639,-15.052784,0.758082,1.491074
0.300000,-1.546008,-1.998099,1.490868,0.152829,0.032002,-0.022603,1.296772,0.245900,-0.115391,4.727433,1.372071,-0.342502,-15.795180,0.697452,1.536090
0.310000,-1.544414,-1.997767,1.490636,0.166030,0.034530,-0.023774,1.343269,0.259666,-0.118742,4.568324,1.379865,-0.327203,-16.479150,0.635971,1.587222
0.320000,-1.542686,-1.997408,1.490392,0.179688,0.037196,-0.024978,1.388118,0.273495,-0.121933,4.400548,1.386009,-0.311077,-17.059371,0.596148,1.638020
0.330000,-1.540819,-1.997023,1.490136,0.193787,0.040000,-0.026212,1.431262,0.287385,-0.124961,4.227458,1.391850,-0.294441,-17.543214,0.574816,1.689167
0.340000,-1.538809,-1.996608,1.489868,0.208308,0.042943,-0.027476,1.472652,0.301332,-0.127821,4.049981,1.397557,-0.277290,-17.938052,0.568809,1.741350
0.350000,-1.536651,-1.996163,1.489587,0.223234,0.046027,-0.028768,1.512250,0.315336,-0.130505,3.868969,1.403267,-0.259609,-18.251255,0.574958,1.795251
0.360000,-1.534343,-1.995687,1.489292,0.238546,0.049250,-0.030086,1.550032,0.329403,-0.133014,3.686115,1.409581,-0.241648,-18.513209,0.577584,1.858392
0.370000,-1.531879,-1.995178,1.488985,0.254228,0.052615,-0.031428,1.585964,0.343528,-0.135336,3.499965,1.415401,-0.222739,-18.705454,0.587566,1.923783
0.380000,-1.529257,-1.994634,1.488664,0.270259,0.056121,-0.032792,1.620026,0.357712,-0.137466,3.312223,1.421352,-0.203165,-18.832542,0.603267,1.991272
0.390000,-1.526473,-1.994055,1.488329,0.286622,0.059769,-0.034176,1.652206,0.371956,-0.139397,3.123516,1.427480,-0.182907,-18.899028,0.623055,2.060706
0.400000,-1.523524,-1.993438,1.487980,0.303297,0.063560,-0.035579,1.682495,0.386262,-0.141122,2.934429,1.433821,-0.161945,-18.909463,0.645292,2.131933
0.410000,-1.520406,-1.992783,1.487617,0.320266,0.067495,-0.036998,1.710899,0.400635,-0.142636,2.745904,1.440634,-0.140448,-18.878647,0.662154,2.209489
0.420000,-1.517117,-1.992088,1.487240,0.337509,0.071573,-0.038431,1.737415,0.415075,-0.143929,2.557474,1.447340,-0.117962,-18.799634,0.678955,2.287958
0.430000,-1.513655,-1.991351,1.486849,0.355008,0.075796,-0.039876,1.762052,0.429583,-0.144992,2.370061,1.454210,-0.094689,-18.675722,0.694818,2.366612
0.440000,-1.510017,-1.990572,1.486443,0.372744,0.080165,-0.041330,1.784821,0.444160,-0.145820,2.184098,1.461230,-0.070631,-18.510209,0.708867,2.444724
0.450000,-1.506199,-1.989747,1.486022,0.390698,0.084680,-0.042791,1.805740,0.458808,-0.146402,1.999985,1.468378,-0.045798,-18.306395,0.720225,2.521567
0.460000,-1.502202,-1.988877,1.485587,0.408852,0.089341,-0.044257,1.824831,0.473529,-0.146734,1.818289,1.475752,-0.020275,-18.072676,0.724752,2.598149
0.470000,-1.498022,-1.987960,1.485137,0.427188,0.094151,-0.045725,1.842114,0.488323,-0.146805,1.638867,1.483006,0.006077,-17.806629,0.725234,2.671795
0.480000,-1.493658,-1.986994,1.484672,0.445689,0.099108,-0.047192,1.857617,0.503189,-0.146610,1.462255,1.490242,0.033148,-17.510928,0.721194,2.741565
0.490000,-1.489108,-1.985977,1.484193,0.464335,0.104215,-0.048656,1.871370,0.518128,-0.146140,1.288738,1.497413,0.060893,-17.188246,0.712157,2.806520
0.500000,-1.484370,-1.984909,1.483699,0.483110,0.109471,-0.050114,1.883403,0.533137,-0.145390,1.118571,1.504467,0.089259,-16.841260,0.697644,2.865720
0.510000,-1.479445,-1.983788,1.483191,0.501997,0.114878,-0.051563,1.893754,0.548217,-0.144353,0.952117,1.511424,0.118228,-16.475982,0.675222,2.917128
0.520000,-1.474330,-1.982611,1.482668,0.520980,0.120435,-0.053000,1.902458,0.563365,-0.143024,0.789265,1.518038,0.147626,-16.091338,0.646610,2.961036
0.530000,-1.469025,-1.981378,1.482131,0.540041,0.126145,-0.054423,1.909553,0.578577,-0.141399,0.630347,1.524334,0.177421,-15.689594,0.611571,2.996638
0.540000,-1.463529,-1.980088,1.481579,0.559166,0.132007,-0.055827,1.915079,0.593850,-0.139474,0.475523,1.530247,0.207528,-15.273016,0.569868,3.023129
0.550000,-1.457842,-1.978738,1.481014,0.578338,0.138022,-0.057211,1.919077,0.609180,-0.137248,0.324929,1.535709,0.237851,-14.843870,0.521264,3.039703
0.560000,-1.451962,-1.977327,1.480435,0.597542,0.144191,-0.058571,1.921593,0.624563,-0.134716,0.178800,1.540703,0.268411,-14.407465,0.464146,3.042396
0.570000,-1.445891,-1.975853,1.479843,0.616765,0.150514,-0.059905,1.922668,0.639992,-0.131879,0.036944,1.545029,0.298802,-13.962651,0.399819,3.033948
0.580000,-1.439627,-1.974316,1.479237,0.635991,0.156991,-0.061208,1.922347,0.655461,-0.128740,-0.100431,1.548675,0.329052,-13.511317,0.328217,3.013940
0.590000,-1.433171,-1.972713,1.478619,0.655207,0.163623,-0.062478,1.920675,0.670963,-0.125299,-0.233267,1.551569,0.359041,-13.055358,0.249270,2.981953
0.600000,-1.426523,-1.971043,1.477988,0.674400,0.170410,-0.063713,1.917697,0.686490,-0.121560,-0.361529,1.553636,0.388649,-12.596666,0.162909,2.937568
0.610000,-1.419683,-1.969304,1.477345,0.693557,0.177353,-0.064909,1.913461,0.702033,-0.117526,-0.485067,1.554845,0.417914,-12.140438,0.067980,2.876223
0.620000,-1.412652,-1.967495,1.476690,0.712665,0.184451,-0.066063,1.908011,0.717584,-0.113204,-0.604192,1.555019,0.446316,-11.684856,-0.034367,2.802149
0.630000,-1.405430,-1.965615,1.476024,0.731713,0.191704,-0.067172,1.901392,0.733130,-0.108603,-0.718771,1.554133,0.473915,-11.231410,-0.144068,2.715436
0.640000,-1.398018,-1.963661,1.475347,0.750689,0.199113,-0.068234,1.893650,0.748663,-0.103729,-0.828833,1.552114,0.500583,-10.781587,-0.261060,2.616173
0.650000,-1.390416,-1.961632,1.474659,0.769583,0.206678,-0.069246,1.884830,0.764169,-0.098594,-0.934420,1.548888,0.526197,-10.336875,-0.385278,2.504447
0.660000,-1.382627,-1.959527,1.473962,0.788382,0.214397,-0.070205,1.874978,0.779636,-0.093208,-1.035449,1.544419,0.550792,-9.902390,-0.517550,2.376292
0.670000,-1.374649,-1.957343,1.473255,0.807079,0.222270,-0.071109,1.864136,0.795052,-0.087583,-1.132331,1.538553,0.573864,-9.475547,-0.656811,2.236348
0.680000,-1.366485,-1.955081,1.472540,0.825662,0.230298,-0.071956,1.852346,0.810403,-0.081735,-1.224988,1.531261,0.595481,-9.057390,-0.802888,2.085202
