time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-1.625046,-2.213207,-1.491426,0.001931,-0.016436,0.006906,0.158286,0.271923,0.002051,-3.852422,-6.914785,-0.031724,87.492779,190.967852,-0.810294,0.027714,-0.016137,0.000000,-0.704299,0.392585,-0.000000
0.010000,-1.625019,-2.213358,-1.491357,0.003336,-0.014032,0.006925,0.123982,0.211979,0.001693,-3.023540,-5.107558,-0.039723,78.394125,170.729650,-0.786336,0.021607,-0.012640,0.000000,-0.520457,0.308193,0.000000
0.020000,-1.624980,-2.213489,-1.491287,0.004437,-0.012140,0.006940,0.097523,0.169122,0.001257,-2.282373,-3.495251,-0.047391,69.945413,151.973642,-0.744494,0.017239,-0.009942,0.000000,-0.356260,0.232678,-0.000000
0.030000,-1.624931,-2.213602,-1.491218,0.005310,-0.010599,0.006950,0.078063,0.141473,0.000747,-1.622552,-2.063348,-0.054557,62.120537,134.638849,-0.686121,0.014421,-0.007958,0.000000,-0.210358,0.165427,0.000000
0.040000,-1.624874,-2.213702,-1.491148,0.006019,-0.009266,0.006954,0.064821,0.127300,0.000168,-1.037970,-0.797940,-0.061063,54.893390,118.664289,-0.612569,0.012976,-0.006608,0.000000,-0.081397,0.105837,0.000000
0.050000,-1.624811,-2.213788,-1.491079,0.006624,-0.008013,0.006953,0.057073,0.125004,-0.000471,-0.522779,0.314269,-0.066763,48.237865,103.988982,-0.525192,0.012741,-0.005817,0.000000,0.031946,0.053321,0.000000
0.060000,-1.624742,-2.213862,-1.491009,0.007177,-0.006731,0.006945,0.054153,0.133117,-0.001164,-0.071394,1.285967,-0.071525,42.127857,90.551947,-0.425342,0.013567,-0.005519,0.000000,0.130947,0.007316,-0.000000
0.070000,-1.624668,-2.213922,-1.490940,0.007721,-0.005321,0.006929,0.055450,0.150295,-0.001898,0.321510,2.129232,-0.075233,36.537259,78.292204,-0.314372,0.015316,-0.005651,0.000000,0.216830,-0.032719,-0.000000
0.080000,-1.624588,-2.213967,-1.490871,0.008298,-0.003699,0.006907,0.060405,0.175312,-0.002664,0.660995,2.855532,-0.077780,31.439965,67.148772,-0.193633,0.017864,-0.006156,0.000000,0.290757,-0.067299,-0.000000
0.090000,-1.624501,-2.213995,-1.490802,0.008940,-0.001792,0.006876,0.068508,0.207052,-0.003450,0.951866,3.475725,-0.079077,26.809867,57.060670,-0.064480,0.021095,-0.006981,0.000000,0.353829,-0.096914,0.000000
0.100000,-1.624408,-2.214002,-1.490733,0.009677,0.000461,0.006838,0.079295,0.244507,-0.004242,1.198663,4.000060,-0.079046,22.620861,47.966919,0.071735,0.024907,-0.008079,0.000000,0.407086,-0.122024,0.000000
0.110000,-1.624308,-2.213985,-1.490665,0.010533,0.003114,0.006791,0.092349,0.286766,-0.005026,1.405667,4.438175,-0.077623,18.846838,39.806536,0.213660,0.029207,-0.009409,0.000000,0.451506,-0.143068,0.000000
0.120000,-1.624197,-2.213938,-1.490597,0.011530,0.006210,0.006737,0.107290,0.333013,-0.005789,1.576896,4.799099,-0.074758,15.461694,32.518541,0.359941,0.033911,-0.010930,0.000000,0.488008,-0.160454,-0.000000
0.130000,-1.624076,-2.213859,-1.490530,0.012684,0.009785,0.006676,0.123780,0.382519,-0.006516,1.716110,5.091250,-0.070415,12.439320,26.041955,0.509227,0.038944,-0.012609,0.000000,0.517449,-0.174568,0.000000
0.140000,-1.623943,-2.213741,-1.490464,0.014010,0.013869,0.006607,0.141517,0.434635,-0.007193,1.826805,5.322439,-0.064568,9.753612,20.315796,0.660164,0.044239,-0.014414,0.000000,0.540629,-0.185767,0.000000
0.150000,-1.623796,-2.213580,-1.490398,0.015518,0.018485,0.006532,0.160232,0.488788,-0.007803,1.912217,5.499865,-0.057210,7.378462,15.279083,0.811400,0.049738,-0.016319,0.000000,0.558287,-0.194383,-0.000000
0.160000,-1.623632,-2.213369,-1.490333,0.017217,0.023650,0.006451,0.179687,0.544475,-0.008332,1.975322,5.630116,-0.048344,5.287764,10.870837,0.961582,0.055389,-0.018299,0.000000,0.571100,-0.200721,-0.000000
0.170000,-1.623451,-2.213105,-1.490269,0.019114,0.029378,0.006366,0.199673,0.601253,-0.008765,2.018834,5.719173,-0.037987,3.455412,7.030076,1.109357,0.061146,-0.020333,0.000000,0.579688,-0.205062,0.000000
0.180000,-1.623249,-2.212780,-1.490206,0.021212,0.035677,0.006276,0.220006,0.658739,-0.009087,2.045205,5.772406,-0.026169,1.855299,3.695820,1.253373,0.066970,-0.022402,0.000000,0.584607,-0.207658,-0.000000
0.190000,-1.623026,-2.212389,-1.490144,0.023514,0.042554,0.006184,0.240527,0.716598,-0.009283,2.056627,5.794574,-0.012936,0.461319,0.807088,1.392277,0.072828,-0.024490,0.000000,0.586354,-0.208735,-0.000000
0.200000,-1.622778,-2.211927,-1.490082,0.026022,0.050010,0.006091,0.261095,0.774541,-0.009341,2.055031,5.789829,0.001655,-0.752635,-1.697101,1.524716,0.078688,-0.026584,0.000000,0.585362,-0.208493,0.000000
0.210000,-1.622505,-2.211387,-1.490022,0.028735,0.058041,0.005998,0.281635,0.832430,-0.009247,2.046259,5.772173,0.017460,-1.918031,-4.141981,1.651144,0.084539,-0.028674,0.000000,0.583059,-0.207529,-0.000000
0.220000,-1.622203,-2.210764,-1.489962,0.031653,0.066653,0.005907,0.301984,0.889908,-0.008988,2.021843,5.719770,0.034566,-2.942713,-6.291921,1.768181,0.090342,-0.030745,0.000000,0.577254,-0.204986,-0.000000
0.230000,-1.621871,-2.210052,-1.489904,0.034773,0.075837,0.005819,0.322040,0.946759,-0.008552,1.987829,5.647223,0.052788,-3.839884,-8.175544,1.874252,0.096077,-0.032787,0.000000,0.569439,-0.201482,-0.000000
0.240000,-1.621507,-2.209246,-1.489846,0.038093,0.085586,0.005736,0.341713,1.002794,-0.007928,1.945426,5.557051,0.072009,-4.622750,-9.821473,1.967784,0.101725,-0.034791,0.000000,0.559879,-0.197141,-0.000000
0.250000,-1.621108,-2.208339,-1.489789,0.041606,0.095890,0.005661,0.360924,1.057848,-0.007109,1.895711,5.451490,0.092096,-5.304515,-11.258331,2.047203,0.107269,-0.036748,0.000000,0.548812,-0.192076,-0.000000
0.260000,-1.620674,-2.207326,-1.489733,0.045309,0.106737,0.005595,0.379629,1.111830,-0.006082,1.841718,5.337245,0.113087,-5.951149,-12.634948,2.106219,0.112702,-0.038655,0.000000,0.536922,-0.186596,-0.000000
0.270000,-1.620202,-2.206202,-1.489677,0.049196,0.118120,0.005540,0.397738,1.164550,-0.004845,1.779314,5.204713,0.134375,-6.516631,-13.845020,2.148551,0.118004,-0.040502,0.000000,0.523251,-0.180282,0.000000
0.280000,-1.619689,-2.204962,-1.489622,0.053261,0.130024,0.005499,0.415197,1.215887,-0.003393,1.711634,5.060854,0.155999,-7.007705,-14.902452,2.173203,0.123163,-0.042284,0.000000,0.508508,-0.173454,0.000000
0.290000,-1.619136,-2.203600,-1.489567,0.057498,0.142433,0.005473,0.431956,1.265734,-0.001725,1.639386,4.907126,0.177777,-7.431115,-15.821145,2.179178,0.128171,-0.043996,0.000000,0.492843,-0.166183,0.000000
0.300000,-1.618539,-2.202112,-1.489512,0.061898,0.155333,0.005465,0.447972,1.314001,0.000162,1.563214,4.744847,0.199517,-7.793605,-16.615004,2.165480,0.133018,-0.045634,0.000000,0.476393,-0.158534,-0.000000
0.310000,-1.617897,-2.200492,-1.489458,0.066454,0.168707,0.005477,0.463220,1.360630,0.002268,1.484730,4.577341,0.221347,-8.128078,-17.352118,2.122793,0.137699,-0.047195,0.000000,0.459496,-0.150670,-0.000000
0.320000,-1.617209,-2.198736,-1.489403,0.071159,0.182539,0.005511,0.477656,1.405525,0.004587,1.401989,4.400569,0.242276,-8.411916,-17.985570,2.059458,0.142206,-0.048675,0.000000,0.441738,-0.142391,0.000000
0.330000,-1.616474,-2.196839,-1.489347,0.076004,0.196812,0.005569,0.491251,1.448622,0.007112,1.316649,4.217951,0.262468,-8.648659,-18.522629,1.975498,0.146532,-0.050071,0.000000,0.423464,-0.133864,0.000000
0.340000,-1.615689,-2.194798,-1.489291,0.080981,0.211506,0.005654,0.503982,1.489868,0.009833,1.229161,4.030414,0.281717,-8.841849,-18.970564,1.870935,0.150673,-0.051381,0.000000,0.404763,-0.125132,-0.000000
0.350000,-1.614854,-2.192608,-1.489234,0.086081,0.226603,0.005766,0.515829,1.529217,0.012742,1.139945,3.838812,0.299818,-8.995027,-19.336643,1.745792,0.154626,-0.052602,0.000000,0.385717,-0.116235,-0.000000
0.360000,-1.613967,-2.190265,-1.489176,0.091295,0.242083,0.005909,0.526782,1.566643,0.015829,1.049888,3.644892,0.316906,-9.124495,-19.652446,1.591458,0.158388,-0.053733,0.000000,0.366497,-0.107262,0.000000
0.370000,-1.613027,-2.187765,-1.489116,0.096614,0.257929,0.006083,0.536823,1.602105,0.019075,0.958140,3.447083,0.331967,-9.219470,-19.897954,1.417646,0.161955,-0.054774,0.000000,0.346929,-0.098119,-0.000000
0.380000,-1.612034,-2.185105,-1.489054,0.102028,0.274119,0.006291,0.545942,1.635578,0.022462,0.865607,3.247153,0.345198,-9.281930,-20.077460,1.225433,0.165326,-0.055722,0.000000,0.327187,-0.088898,-0.000000
0.390000,-1.610986,-2.182282,-1.488990,0.107529,0.290633,0.006533,0.554133,1.667043,0.025972,0.772603,3.045740,0.356418,-9.313854,-20.195254,1.015898,0.168499,-0.056576,0.000000,0.307324,-0.079626,-0.000000
0.400000,-1.609883,-2.179291,-1.488923,0.113108,0.307453,0.006811,0.561394,1.696490,0.029583,0.679425,2.843439,0.365462,-9.317218,-20.255629,0.790122,0.171472,-0.057337,0.000000,0.287393,-0.070331,0.000000
0.410000,-1.608724,-2.176132,-1.488854,0.118754,0.324556,0.007125,0.567725,1.723916,0.033276,0.586584,2.641234,0.372423,-9.299967,-20.273732,0.542789,0.174247,-0.058004,0.000000,0.267484,-0.061062,0.000000
0.420000,-1.607508,-2.172799,-1.488781,0.124459,0.341924,0.007476,0.573126,1.749315,0.037023,0.493776,2.438616,0.376558,-9.257383,-20.241671,0.282154,0.176822,-0.058577,0.000000,0.247529,-0.051783,-0.000000
0.430000,-1.606235,-2.169292,-1.488704,0.130214,0.359536,0.007865,0.577602,1.772690,0.040798,0.401516,2.236558,0.378028,-9.190714,-20.162408,0.010081,0.179198,-0.059056,0.000000,0.227618,-0.042545,-0.000000
0.440000,-1.604904,-2.165608,-1.488623,0.136008,0.377371,0.008292,0.581159,1.794049,0.044575,0.310038,2.035516,0.376728,-9.101207,-20.038905,-0.271569,0.181375,-0.059442,0.000000,0.207789,-0.033368,0.000000
0.450000,-1.603514,-2.161744,-1.488538,0.141834,0.395410,0.008757,0.583806,1.813405,0.048323,0.219564,1.835917,0.372571,-8.990111,-19.874124,-0.560934,0.183354,-0.059735,0.000000,0.188075,-0.024273,0.000000
0.460000,-1.602067,-2.157699,-1.488448,0.147681,0.413633,0.009259,0.585556,1.830776,0.052017,0.130402,1.638352,0.365599,-8.861154,-19.675859,-0.858910,0.185137,-0.059936,0.000000,0.168528,-0.015290,-0.000000
0.470000,-1.600561,-2.153471,-1.488353,0.153542,0.432019,0.009797,0.586419,1.846179,0.055625,0.042516,1.442736,0.355504,-8.712799,-19.441651,-1.160539,0.186725,-0.060046,0.000000,0.149129,-0.006413,0.000000
0.480000,-1.598996,-2.149058,-1.488252,0.159407,0.450550,0.010371,0.586411,1.859639,0.059117,-0.043793,1.249631,0.342383,-8.545990,-19.173871,-1.463621,0.188120,-0.060067,0.000000,0.129927,0.002329,-0.000000
0.490000,-1.597373,-2.144460,-1.488145,0.165267,0.469205,0.010979,0.585549,1.871181,0.062463,-0.128345,1.059362,0.326234,-8.361671,-18.874890,-1.765958,0.189324,-0.059999,0.000000,0.110952,0.010918,0.000000
0.500000,-1.595691,-2.139674,-1.488032,0.171115,0.487967,0.011619,0.583851,1.880837,0.065632,-0.210971,0.872229,0.307074,-8.160788,-18.547080,-2.065349,0.190340,-0.059845,0.000000,0.092226,0.019336,-0.000000
0.510000,-1.593950,-2.134700,-1.487913,0.176941,0.506816,0.012291,0.581337,1.888638,0.068594,-0.291479,0.688600,0.284899,-7.945038,-18.195122,-2.358451,0.191170,-0.059606,0.000000,0.073783,0.027565,-0.000000
0.520000,-1.592152,-2.129537,-1.487786,0.182739,0.525734,0.012990,0.578029,1.894621,0.071320,-0.369789,0.508511,0.259878,-7.714519,-17.818795,-2.644347,0.191816,-0.059284,0.000000,0.055626,0.035595,0.000000
0.530000,-1.590296,-2.124185,-1.487653,0.188499,0.544702,0.013716,0.573949,1.898821,0.073782,-0.445723,0.332299,0.232043,-7.470081,-17.420186,-2.920980,0.192283,-0.058882,0.000000,0.037786,0.043406,0.000000
0.540000,-1.588382,-2.118643,-1.487512,0.194215,0.563704,0.014465,0.569122,1.901280,0.075952,-0.519147,0.160175,0.201496,-7.212576,-17.001383,-3.186287,0.192573,-0.058401,0.000000,0.020284,0.050985,0.000000
0.550000,-1.586412,-2.112911,-1.487363,0.199879,0.582722,0.015234,0.563575,1.902039,0.077804,-0.589934,-0.007669,0.168362,-6.942855,-16.564475,-3.438211,0.192690,-0.057844,0.000000,0.003140,0.058316,-0.000000
